,_n_I_OFF_x,_n_I_OFF_y
0,-2.722,1.0
1,-2.72,0.9999990137345475
2,-2.718,0.9999961119015194
3,-2.716,0.9999913771919592
4,-2.714,0.999984889611491
5,-2.712,0.9999767267812342
6,-2.71,0.9999669639378029
7,-2.708,0.9999556739333066
8,-2.706,0.9999429272353498
9,-2.704,0.9999287926440815
10,-2.702,0.9999133399410132
11,-2.7,0.9998966309371004
12,-2.698,0.9998787247484553
13,-2.696,0.9998596790070952
14,-2.694,0.9998395498609416
15,-2.692,0.999818391973821
16,-2.69,0.9997962585254644
17,-2.688,0.9997732012115073
18,-2.686,0.9997492702434898
19,-2.684,0.9997245143488571
20,-2.682,0.9996989807709585
21,-2.68,0.9996727152690483
22,-2.678,0.9996457621182852
23,-2.676,0.9996181641097326
24,-2.674,0.9995899625503586
25,-2.672,0.9995611972630358
26,-2.67,0.9995319079172238
27,-2.668,0.9995021382842761
28,-2.666,0.9994719204426074
29,-2.664,0.9994412838913175
30,-2.662,0.9994102575021316
31,-2.66,0.9993788695193996
32,-2.658,0.9993471475600959
33,-2.656,0.99931511861382
34,-2.654,0.9992828090427965
35,-2.652,0.9992502445818743
36,-2.65,0.9992174503385274
37,-2.648,0.9991844507928546
38,-2.646,0.9991512697975795
39,-2.644,0.9991179305780508
40,-2.642,0.9990844557322415
41,-2.64,0.99905086723075
42,-2.638,0.9990171864167992
43,-2.636,0.9989834340062368
44,-2.634,0.9989496300875356
45,-2.632,0.998915794121793
46,-2.63,0.9988819449427313
47,-2.628,0.9988481007566976
48,-2.626,0.998814279142664
49,-2.624,0.9987804970522273
50,-2.622,0.9987467708096089
51,-2.62,0.9987131184749186
52,-2.618,0.9986795569197653
53,-2.616,0.9986460942906148
54,-2.614,0.9986127383435375
55,-2.612,0.9985794967187014
56,-2.61,0.9985463769403733
57,-2.608,0.9985133864169174
58,-2.606,0.9984805324407965
59,-2.604,0.9984478221885712
60,-2.602,0.9984152627209001
61,-2.6,0.9983828609825403
62,-2.598,0.9983506238023463
63,-2.596,0.9983185578932714
64,-2.594,0.9982866698523666
65,-2.592,0.9982549661607809
66,-2.59,0.9982234531837617
67,-2.588,0.998192137170654
68,-2.586,0.9981610242549015
69,-2.584,0.9981301204540455
70,-2.582,0.9980994316697255
71,-2.58,0.9980689636876791
72,-2.578,0.998038722177742
73,-2.576,0.9980087126938479
74,-2.574,0.9979789406740289
75,-2.572,0.9979494114404146
76,-2.57,0.9979201301992332
77,-2.568,0.9978911020408107
78,-2.566,0.9978623319395713
79,-2.564,0.9978338247540371
80,-2.562,0.9978055852268286
81,-2.56,0.9977776179846641
82,-2.558,0.9977499275383601
83,-2.556,0.99772251824703
84,-2.554,0.9976953920312032
85,-2.552,0.9976685470750549
86,-2.55,0.997641981293147
87,-2.548,0.9976156926682951
88,-2.546,0.9975896792515689
89,-2.544,0.9975639391622927
90,-2.542,0.9975384705880443
91,-2.54,0.997513271784656
92,-2.538,0.9974883410762139
93,-2.536,0.9974636768550583
94,-2.534,0.997439277581784
95,-2.532,0.9974151417852392
96,-2.53,0.9973912680625268
97,-2.528,0.9973676550790034
98,-2.526,0.9973443015682799
99,-2.524,0.9973212063322214
100,-2.522,0.9972983682409469
101,-2.52,0.9972757862328294
102,-2.518,0.9972534593144965
103,-2.516,0.9972313865608293
104,-2.514,0.9972095671149634
105,-2.512,0.9971880001882885
