,_control_x,_control_y,_intensity_x,_intensity_y,_nolegend__x,_nolegend__y
0,170,0.08514413535604963,170,0.012428056248461977,170,0.014568779751478985
1,120,0.05751959366275352,120,0.01866864004843755,120,0.020535504053281303
2,100,0.04132328702613608,100,0.021948266002892795,100,0.023747600188472377
3,80,0.022049177570722184,80,0.023714218439907158,80,0.02622131755164415
4,60,0.0,60,0.02689293282653301,60,0.028825165382310475
