,"_ON input
only_x","_ON input
only_y"
0,-3.866,0.0
1,-3.8640000000000003,-9.843292714405458e-06
2,-3.862,-3.86699616515578e-05
3,-3.8600000000000003,-8.546619032182549e-05
4,-3.858,-0.0001492566664047553
5,-3.8560000000000003,-0.00022909964903807963
6,-3.854,-0.0003240869688177163
7,-3.8520000000000003,-0.0004333440277977689
8,-3.85,-0.0005560297994905264
9,-3.8480000000000003,-0.000691322733511286
10,-3.846,-0.0008383674768007253
11,-3.8440000000000003,-0.0009964513120773412
12,-3.842,-0.0011649035642903995
13,-3.8400000000000003,-0.0013430720351466745
14,-3.838,-0.0015303230031104486
15,-3.8360000000000003,-0.001726041223403512
16,-3.834,-0.001929629928005164
17,-3.8320000000000003,-0.0021405108256522106
18,-3.83,-0.0023581241018389666
19,-3.8280000000000003,-0.002581928418817255
20,-3.826,-0.0028114009155964063
21,-3.8240000000000003,-0.0030460372079432595
22,-3.822,-0.003285351388382162
23,-3.8200000000000003,-0.00352887602619497
24,-3.818,-0.0037761621674210454
25,-3.8160000000000003,-0.004026779334857261
26,-3.814,-0.004280315528057994
27,-3.8120000000000003,-0.0045363623643769795
28,-3.81,-0.004794497167416409
29,-3.8080000000000003,-0.005054424200001864
30,-3.806,-0.0053158696347479365
31,-3.8040000000000003,-0.005578566556753714
32,-3.802,-0.0058422549636027755
33,-3.8000000000000003,-0.006106681765363197
34,-3.798,-0.006371600784587548
35,-3.7960000000000003,-0.006636772756312893
36,-3.794,-0.006901965328060792
37,-3.7920000000000003,-0.007166953059837296
38,-3.79,-0.0074315174241329565
39,-3.7880000000000003,-0.007695446805922817
40,-3.786,-0.007958536502666412
41,-3.7840000000000003,-0.008220588724307774
42,-3.782,-0.008481412593275433
43,-3.7800000000000002,-0.008740824144482408
44,-3.778,-0.008998646325326213
45,-3.7760000000000002,-0.009254708995688862
46,-3.774,-0.009508848927936858
47,-3.7720000000000002,-0.009760909806921203
48,-3.77,-0.01001074222997739
49,-3.7680000000000002,-0.010258203706925411
50,-3.766,-0.01050315680423701
51,-3.7640000000000002,-0.01074544295064492
52,-3.762,-0.010984993570697942
53,-3.7600000000000002,-0.01122177346295879
54,-3.758,-0.011455748018254977
55,-3.7560000000000002,-0.011686883219678814
56,-3.754,-0.011915145642587404
57,-3.7520000000000002,-0.012140502454602652
58,-3.75,-0.012362921415611256
59,-3.748,-0.012582370877764716
60,-3.746,-0.012798819785479323
61,-3.744,-0.013012237675436168
62,-3.742,-0.013222594676581143
63,-3.74,-0.01342986151012493
64,-3.738,-0.01363400948954301
65,-3.736,-0.01383501052057566
66,-3.734,-0.014032837101227961
67,-3.732,-0.014227462321769782
68,-3.73,-0.014418859864735793
69,-3.728,-0.014607004004925463
70,-3.726,-0.014791869609403051
71,-3.724,-0.014973432137497626
72,-3.722,-0.015151667640803036
73,-3.72,-0.01532655276317794
74,-3.718,-0.01549806474074579
75,-3.716,-0.015666181401894835
76,-3.714,-0.01583088116727812
77,-3.712,-0.015992143049813484
78,-3.71,-0.01614994665468357
79,-3.708,-0.016304272179335815
80,-3.706,-0.016455103499698757
81,-3.704,-0.016602474152526605
82,-3.702,-0.016746441845186085
83,-3.7,-0.016887060821149723
84,-3.698,-0.01702438396413717
85,-3.696,-0.0171584627981152
86,-3.694,-0.017289347487297727
87,-3.692,-0.01741708683614577
88,-3.69,-0.017541728289367488
89,-3.688,-0.017663317931918172
90,-3.686,-0.017781900489000222
91,-3.684,-0.01789751932606318
92,-3.682,-0.01801021644880371
93,-3.68,-0.018120032503165594
94,-3.678,-0.01822700677533975
95,-3.676,-0.01833117719176422
96,-3.674,-0.018432580319124172
97,-3.672,-0.0185312513643519
98,-3.67,-0.018627224174626825
99,-3.668,-0.018720531237375493
100,-3.666,-0.018811203680271577
101,-3.664,-0.01889927127123588
102,-3.662,-0.018984762418436323
103,-3.66,-0.019067704170287962
104,-3.658,-0.019148122215452975
105,-3.656,-0.019226040882840665
106,-3.654,-0.019301483141607467
107,-3.652,-0.019374470601156938
108,-3.65,-0.01944502351113976
109,-3.648,-0.01951316076145375
110,-3.646,-0.019578899882243837
111,-3.644,-0.01964225704390209
112,-3.642,-0.019703247057067698
113,-3.64,-0.019761883372626972
114,-3.638,-0.019818178081713364
115,-3.636,-0.019872141915707436
116,-3.634,-0.019923784246236885
117,-3.632,-0.019973127152884174
118,-3.63,-0.020020282511231818
119,-3.628,-0.02006531765773103
120,-3.6260000000000003,-0.02010828592943766
121,-3.624,-0.020149239497223487
122,-3.622,-0.020188229365776213
123,-3.62,-0.020225305373599452
124,-3.6180000000000003,-0.02026051619301275
125,-3.616,-0.02029390933015157
126,-3.614,-0.020325531124967305
127,-3.612,-0.020355426751227257
128,-3.6100000000000003,-0.020383640216514665
129,-3.608,-0.02041021436222868
130,-3.606,-0.020435190863584383
131,-3.604,-0.020458610229612772
132,-3.6020000000000003,-0.02048051180316077
133,-3.6,-0.02050093376089122
134,-3.598,-0.02051991311328289
135,-3.596,-0.020537485704630473
136,-3.5940000000000003,-0.02055368621304458
137,-3.592,-0.020568548150451744
138,-3.59,-0.020582103862594424
139,-3.588,-0.020594384529030996
140,-3.5860000000000003,-0.020605420163135765
141,-3.584,-0.02061523961209896
142,-3.582,-0.02062387055692672
143,-3.58,-0.020631339512441116
144,-3.5780000000000003,-0.020637671827280143
145,-3.576,-0.020642891683897716
146,-3.5740000000000003,-0.02064702209856367
147,-3.572,-0.020650084921363766
148,-3.5700000000000003,-0.020652100836199682
149,-3.568,-0.020653089360789023
150,-3.5660000000000003,-0.02065306884666532
151,-3.564,-0.020652056479178022
152,-3.5620000000000003,-0.020650068277492495
153,-3.56,-0.02064711909459004
154,-3.5580000000000003,-0.020643222617267865
155,-3.556,-0.020638391366139118
156,-3.5540000000000003,-0.020632636695632853
157,-3.552,-0.02062596879399406
158,-3.5500000000000003,-0.020618396683283642
159,-3.548,-0.02060992821937843
160,-3.5460000000000003,-0.020600570091971176
161,-3.544,-0.02059032782457055
162,-3.5420000000000003,-0.020579205774501147
163,-3.54,-0.020567234895187272
164,-3.5380000000000003,-0.020554533176558823
165,-3.536,-0.020541135367702412
166,-3.5340000000000003,-0.020527066041471538
167,-3.532,-0.020512349295176383
168,-3.5300000000000002,-0.020497008750583783
169,-3.528,-0.02048106755391726
170,-3.5260000000000002,-0.020464548375856997
171,-3.524,-0.020447473411539848
172,-3.5220000000000002,-0.02042986438055934
173,-3.52,-0.020411742526965673
174,-3.5180000000000002,-0.02039312861926571
175,-3.516,-0.020374042950422992
176,-3.5140000000000002,-0.020354505337857726
177,-3.512,-0.020334535123446785
178,-3.5100000000000002,-0.020314151173523726
179,-3.508,-0.020293371878878762
180,-3.5060000000000002,-0.020272215154758785
181,-3.504,-0.020250698440867354
182,-3.5020000000000002,-0.0202288387013647
183,-3.5,-0.020206652424867726
184,-3.498,-0.020184155624449997
185,-3.496,-0.02016136383764176
186,-3.494,-0.020138292126429924
187,-3.492,-0.020114955077258072
188,-3.49,-0.02009136680102646
189,-3.488,-0.020067540933092005
190,-3.486,-0.020043490633268303
191,-3.484,-0.020019228585825617
192,-3.482,-0.019994766999490883
193,-3.48,-0.019970117607447706
194,-3.478,-0.01994529166733636
195,-3.476,-0.01992029996125379
196,-3.474,-0.01989515279575361
197,-3.472,-0.019869860001846113
198,-3.47,-0.01984443093499825
199,-3.468,-0.019818874475133648
200,-3.466,-0.019793199026632607
201,-3.464,-0.01976741251833209
202,-3.462,-0.01974152240352574
203,-3.46,-0.019715535659963868
204,-3.458,-0.019689458789853446
205,-3.456,-0.01966329781985813
206,-3.454,-0.019637058301098232
207,-3.452,-0.01961074530915075
208,-3.45,-0.01958436344404934
209,-3.448,-0.019557916830284332
210,-3.446,-0.019531409116802734
211,-3.444,-0.01950484347700821
212,-3.442,-0.01947822260876111
213,-3.44,-0.01945154873437844
214,-3.438,-0.019424823600633884
215,-3.436,-0.0193980484787578
216,-3.434,-0.019371224164437206
217,-3.432,-0.0193443509778158
218,-3.43,-0.019317428763493943
219,-3.428,-0.019290456890528676
220,-3.426,-0.0192634342524337
221,-3.424,-0.019236359267179388
222,-3.422,-0.019209241388258972
223,-3.42,-0.019182180892277988
224,-3.418,-0.019155203035283307
225,-3.416,-0.0191283096069606
226,-3.414,-0.01910150237764516
227,-3.412,-0.019074783098321932
228,-3.41,-0.01904815350062548
229,-3.408,-0.01902161529684001
230,-3.406,-0.018995170179899355
231,-3.404,-0.01896881982338699
232,-3.402,-0.018942565881536012
233,-3.4,-0.01891640998922917
234,-3.398,-0.01889035376199883
235,-3.396,-0.018864398796027
236,-3.394,-0.01883854666814532
237,-3.392,-0.018812798935835064
238,-3.39,-0.018787157137227138
239,-3.388,-0.01876162279110209
240,-3.386,-0.018736197396890086
241,-3.3840000000000003,-0.018710882434670943
242,-3.382,-0.018685679365174103
243,-3.38,-0.01866058962977864
244,-3.378,-0.018635614650513267
245,-3.3760000000000003,-0.018610755830056332
246,-3.374,-0.018586014551735808
247,-3.372,-0.01856139217952931
248,-3.37,-0.01853689005806409
249,-3.3680000000000003,-0.01851250951261702
250,-3.366,-0.01848825184911462
251,-3.364,-0.018464118354133034
252,-3.362,-0.018440110294898046
253,-3.3600000000000003,-0.01841622891928507
254,-3.358,-0.018392475455819162
255,-3.356,-0.018368851113675
256,-3.354,-0.018345357082676903
257,-3.3520000000000003,-0.01832199453329882
258,-3.35,-0.01829876461666434
259,-3.348,-0.018275668464546677
260,-3.346,-0.01825270718936869
261,-3.3440000000000003,-0.018229881884202864
262,-3.342,-0.018207193622771317
263,-3.34,-0.018184643459445805
264,-3.338,-0.018162232429247718
265,-3.3360000000000003,-0.018139961547848076
266,-3.334,-0.018117831811567536
267,-3.332,-0.01809584419737639
268,-3.33,-0.01807399966289456
269,-3.3280000000000003,-0.0180522991463916
270,-3.326,-0.018030743566786706
271,-3.324,-0.018009333823648704
272,-3.322,-0.01798807079719605
273,-3.3200000000000003,-0.017966955348296842
274,-3.318,-0.017945988318468803
275,-3.316,-0.017925170529879297
276,-3.314,-0.017904502785345316
