,control_x,control_y,strychnine_x,strychnine_y
0,-3.8,0.0,-3.8,0.0
1,-3.78,0.0,-3.78,0.0
2,-3.76,0.0,-3.76,0.0
3,-3.7399999999999998,0.0,-3.7399999999999998,0.0
4,-3.7199999999999998,0.0,-3.7199999999999998,0.0
5,-3.6999999999999997,0.0,-3.6999999999999997,0.0
6,-3.6799999999999997,0.0,-3.6799999999999997,0.0
7,-3.6599999999999997,0.0,-3.6599999999999997,0.0
8,-3.6399999999999997,0.0,-3.6399999999999997,0.0
9,-3.6199999999999997,0.0,-3.6199999999999997,0.0
10,-3.5999999999999996,0.0,-3.5999999999999996,0.0
11,-3.5799999999999996,0.0,-3.5799999999999996,0.0
12,-3.5599999999999996,0.0,-3.5599999999999996,0.0
13,-3.54,0.0,-3.54,0.0
14,-3.5199999999999996,0.0,-3.5199999999999996,0.0
15,-3.5,0.0,-3.5,0.0
16,-3.48,0.0,-3.48,0.0
17,-3.46,0.0,-3.46,0.0
18,-3.44,0.0,-3.44,0.0
19,-3.42,0.0,-3.42,0.0
20,-3.4,0.0,-3.4,0.0
21,-3.38,0.0,-3.38,0.0
22,-3.36,0.0,-3.36,0.0
23,-3.34,0.0,-3.34,0.0
24,-3.32,0.0,-3.32,0.0
25,-3.3,0.0,-3.3,0.0
26,-3.28,0.0,-3.28,0.0
27,-3.26,0.0,-3.26,0.8333333333333333
28,-3.2399999999999998,0.0,-3.2399999999999998,0.8333333333333333
29,-3.2199999999999998,0.0,-3.2199999999999998,0.8333333333333333
30,-3.1999999999999997,0.0,-3.1999999999999997,0.8333333333333333
31,-3.1799999999999997,0.0,-3.1799999999999997,0.8333333333333333
32,-3.1599999999999997,0.0,-3.1599999999999997,0.0
33,-3.1399999999999997,0.0,-3.1399999999999997,0.0
34,-3.1199999999999997,0.0,-3.1199999999999997,0.0
35,-3.0999999999999996,0.0,-3.0999999999999996,0.0
36,-3.08,0.0,-3.08,0.0
37,-3.0599999999999996,0.0,-3.0599999999999996,0.0
38,-3.04,0.0,-3.04,0.0
39,-3.0199999999999996,0.0,-3.0199999999999996,0.0
40,-3.0,0.0,-3.0,0.0
41,-2.9799999999999995,0.0,-2.9799999999999995,0.0
42,-2.96,0.0,-2.96,0.0
43,-2.94,0.0,-2.94,0.0
44,-2.92,0.0,-2.92,0.0
45,-2.9,0.0,-2.9,0.0
46,-2.88,0.0,-2.88,0.0
47,-2.86,0.0,-2.86,0.0
48,-2.84,0.0,-2.84,0.0
49,-2.82,0.0,-2.82,0.0
50,-2.8,0.0,-2.8,0.0
51,-2.78,0.0,-2.78,0.0
52,-2.76,0.0,-2.76,0.0
53,-2.7399999999999998,0.0,-2.7399999999999998,0.0
54,-2.7199999999999998,0.0,-2.7199999999999998,0.0
55,-2.6999999999999997,0.0,-2.6999999999999997,0.0
56,-2.6799999999999997,0.0,-2.6799999999999997,0.0
57,-2.6599999999999997,0.0,-2.6599999999999997,0.0
58,-2.6399999999999997,0.0,-2.6399999999999997,0.0
59,-2.62,0.0,-2.62,0.0
60,-2.5999999999999996,0.0,-2.5999999999999996,0.0
61,-2.58,0.0,-2.58,0.0
62,-2.5599999999999996,0.0,-2.5599999999999996,0.0
63,-2.54,0.0,-2.54,0.0
64,-2.5199999999999996,0.0,-2.5199999999999996,0.0
65,-2.5,0.0,-2.5,0.0
66,-2.4799999999999995,0.0,-2.4799999999999995,0.0
67,-2.46,0.0,-2.46,0.0
68,-2.4399999999999995,0.0,-2.4399999999999995,0.0
69,-2.42,0.0,-2.42,0.0
70,-2.3999999999999995,0.0,-2.3999999999999995,0.0
71,-2.38,0.0,-2.38,0.0
72,-2.36,0.0,-2.36,0.0
73,-2.34,0.0,-2.34,0.0
74,-2.32,0.0,-2.32,0.0
75,-2.3,0.0,-2.3,0.0
76,-2.28,0.0,-2.28,0.0
77,-2.26,0.0,-2.26,0.0
78,-2.2399999999999998,0.0,-2.2399999999999998,0.0
79,-2.2199999999999998,0.0,-2.2199999999999998,0.0
80,-2.1999999999999997,0.0,-2.1999999999999997,0.0
81,-2.1799999999999997,0.0,-2.1799999999999997,0.0
82,-2.1599999999999997,0.0,-2.1599999999999997,0.0
83,-2.1399999999999997,0.0,-2.1399999999999997,0.0
84,-2.12,0.0,-2.12,0.0
85,-2.0999999999999996,0.0,-2.0999999999999996,0.0
86,-2.08,0.0,-2.08,0.0
87,-2.0599999999999996,0.0,-2.0599999999999996,0.0
88,-2.04,0.0,-2.04,0.0
89,-2.0199999999999996,0.0,-2.0199999999999996,0.0
90,-1.9999999999999998,0.0,-1.9999999999999998,0.0
91,-1.9799999999999998,0.0,-1.9799999999999998,0.0
92,-1.9599999999999997,0.0,-1.9599999999999997,0.0
93,-1.9399999999999997,0.0,-1.9399999999999997,0.0
94,-1.9199999999999997,0.0,-1.9199999999999997,0.0
95,-1.8999999999999997,0.0,-1.8999999999999997,0.0
96,-1.88,0.0,-1.88,0.0
97,-1.8599999999999999,0.0,-1.8599999999999999,0.0
98,-1.8399999999999999,0.0,-1.8399999999999999,0.0
99,-1.8199999999999998,0.0,-1.8199999999999998,0.0
100,-1.7999999999999998,0.0,-1.7999999999999998,0.0
101,-1.7799999999999998,0.0,-1.7799999999999998,0.0
102,-1.7599999999999998,0.0,-1.7599999999999998,0.0
103,-1.7399999999999998,0.0,-1.7399999999999998,0.0
104,-1.7199999999999998,0.0,-1.7199999999999998,0.0
105,-1.6999999999999997,0.0,-1.6999999999999997,0.0
106,-1.6799999999999997,0.0,-1.6799999999999997,0.0
107,-1.6599999999999997,0.0,-1.6599999999999997,0.0
108,-1.6399999999999997,0.0,-1.6399999999999997,0.0
109,-1.6199999999999997,0.0,-1.6199999999999997,0.0
110,-1.5999999999999996,0.0,-1.5999999999999996,0.0
111,-1.5799999999999996,0.0,-1.5799999999999996,0.0
112,-1.5599999999999996,0.0,-1.5599999999999996,0.0
113,-1.5399999999999996,0.0,-1.5399999999999996,0.0
114,-1.5199999999999996,0.0,-1.5199999999999996,0.0
115,-1.4999999999999996,0.0,-1.4999999999999996,0.0
116,-1.48,0.0,-1.48,0.0
117,-1.46,0.0,-1.46,0.0
118,-1.44,0.0,-1.44,0.8333333333333333
119,-1.42,0.0,-1.42,0.8333333333333333
120,-1.4,0.0,-1.4,0.8333333333333333
121,-1.38,0.0,-1.38,0.8333333333333333
122,-1.3599999999999999,0.8333333333333333,-1.3599999999999999,0.8333333333333333
123,-1.3399999999999999,0.0,-1.3399999999999999,0.8333333333333333
124,-1.3199999999999998,0.0,-1.3199999999999998,0.8333333333333333
125,-1.2999999999999998,0.0,-1.2999999999999998,0.0
126,-1.2799999999999998,0.0,-1.2799999999999998,0.0
127,-1.2599999999999998,0.0,-1.2599999999999998,0.0
128,-1.2399999999999998,0.0,-1.2399999999999998,0.8333333333333333
