,_V_I_OFF_x,_V_I_OFF_y
0,-2.722,0.0
1,-2.72,0.0011500049171534322
2,-2.718,0.00227326810477015
3,-2.716,0.003370410311370959
4,-2.714,0.004442037818663248
5,-2.712,0.005488743721622235
6,-2.71,0.006511107928490967
7,-2.708,0.007509697160780319
8,-2.706,0.008485064953268997
9,-2.704,0.009437754713990118
10,-2.702,0.01036831104939971
11,-2.7,0.011277241659588941
12,-2.698,0.012165039896521741
13,-2.696,0.013032189931915975
14,-2.694,0.013879166757243426
15,-2.692,0.01470643618372982
16,-2.69,0.015514454842354808
17,-2.688,0.01630367018385197
18,-2.686,0.01707452047870882
19,-2.684,0.01782743481716679
20,-2.682,0.018562833109221254
21,-2.68,0.01928112608462152
22,-2.678,0.01998271529287081
23,-2.676,0.02066799310322629
24,-2.674,0.021337342704699044
25,-2.672,0.021991138106054103
26,-2.67,0.02262975038754872
27,-2.668,0.0232535685245083
28,-2.666,0.02386292577370229
29,-2.664,0.02445814128762095
30,-2.662,0.02503952918055902
31,-2.66,0.025607398528615734
32,-2.658,0.026162053369694804
33,-2.656,0.026703792703504425
34,-2.654,0.02723291049155729
35,-2.652,0.027749695657170566
36,-2.65,0.028254432085465908
37,-2.648,0.02874739862336945
38,-2.646,0.029228869079611832
39,-2.644,0.02969911222472816
40,-2.642,0.030158391791058028
41,-2.64,0.030606966472745523
42,-2.638,0.031045089925739205
43,-2.636,0.03147301076779213
44,-2.634,0.031890972578461844
45,-2.632,0.03229921389911036
46,-2.63,0.0326979682329042
47,-2.628,0.033087464044814344
48,-2.626,0.033467924761616266
49,-2.624,0.033839568771889955
50,-2.622,0.034202609426019846
51,-2.62,0.034557270177354375
52,-2.618,0.0349037727542921
53,-2.616,0.03524228794530872
54,-2.614,0.035572982779912145
55,-2.612,0.03589602216883147
56,-2.61,0.03621156890401694
57,-2.608,0.036519783658639955
58,-2.606,0.03682082498709312
59,-2.604,0.037114849324990165
60,-2.602,0.037402010989166005
61,-2.6,0.03768246217767672
62,-2.598,0.037956352969799545
63,-2.596,0.0382238313260329
64,-2.594,0.03848504308809636
65,-2.592,0.03874013197893065
66,-2.59,0.038989239602697685
67,-2.588,0.03923250544478054
68,-2.586,0.03947006687178344
69,-2.584,0.039702059131531804
70,-2.582,0.03992861535307219
71,-2.58,0.040149866546672325
72,-2.578,0.04036594160382112
73,-2.576,0.040576967297228636
74,-2.574,0.040783068280826104
75,-2.572,0.04098436708976592
76,-2.57,0.04118098414042164
77,-2.568,0.04137303773038801
78,-2.566,0.0415606440384809
79,-2.564,0.041743917124737386
80,-2.562,0.04192296893041569
81,-2.56,0.042097909277995185
82,-2.558,0.04226884587117645
83,-2.556,0.042435885573344566
84,-2.554,0.04259914106570913
85,-2.552,0.04275869126772099
86,-2.55,0.04291460600923796
87,-2.548,0.0430669545334728
88,-2.546,0.04321580549699322
89,-2.544,0.04336122696972187
90,-2.542,0.04350328643493631
91,-2.54,0.043642050789269075
92,-2.538,0.043777586342707606
93,-2.536,0.04390995881859429
94,-2.534,0.044039233353626465
95,-2.532,0.0441654744978564
96,-2.53,0.04428874621469129
97,-2.528,0.044409111880893276
98,-2.526,0.04452663428657944
99,-2.524,0.0446413756352218
100,-2.522,0.044753397543647315
101,-2.52,0.044862761042037874
102,-2.518,0.044969526573930295
103,-2.516,0.045073753996216354
104,-2.514,0.04517550257914276
105,-2.512,0.04527483100631115
106,-2.51,0.0453717973746781
107,-2.508,0.04546645919455513
108,-2.506,0.0455588733896087
109,-2.504,0.045649096296860196
110,-2.502,0.04573718366668595
111,-2.5,0.04582319066281723
112,-2.4979999999999998,0.045907171862340244
113,-2.496,0.045989181255696135
114,-2.4939999999999998,0.046069272246680976
115,-2.492,0.046147497652445794
116,-2.4899999999999998,0.04622390970349654
117,-2.488,0.046298560043694106
118,-2.4859999999999998,0.04637149973025432
119,-2.484,0.04644277923374796
120,-2.482,0.04651244843810073
121,-2.48,0.04658055664059327
122,-2.4779999999999998,0.04664715255186115
123,-2.476,0.04671228429589491
124,-2.474,0.04677599850078974
125,-2.472,0.046838325861189814
126,-2.4699999999999998,0.046899286876979335
127,-2.468,0.04695890225836173
128,-2.466,0.047017192709275915
129,-2.464,0.04707417892739624
130,-2.4619999999999997,0.047129881604132534
131,-2.46,0.04718432142463011
132,-2.458,0.04723751906776971
133,-2.456,0.04728949520616758
134,-2.4539999999999997,0.047340270506175404
135,-2.452,0.04738986562788035
136,-2.45,0.047438301225105034
137,-2.448,0.04748559794540756
138,-2.4459999999999997,0.04753177643008149
139,-2.444,0.04757685731415583
140,-2.442,0.04762086122639509
141,-2.44,0.04766380878929922
142,-2.4379999999999997,0.04770572061910364
143,-2.436,0.04774661732577925
144,-2.434,0.047786519513032394
145,-2.432,0.04782544777830489
146,-2.43,0.04786342271277404
147,-2.428,0.04790046490135259
148,-2.426,0.04793659492268875
149,-2.424,0.04797183334916622
150,-2.422,0.04800620074690414
151,-2.42,0.04803971767575714
152,-2.418,0.0480724046893153
153,-2.416,0.04810428233490415
154,-2.414,0.04813537115358473
155,-2.412,0.04816569168015352
156,-2.41,0.04819526444314245
157,-2.408,0.04822410996481895
158,-2.406,0.04825224876118589
159,-2.404,0.04827970134198162
160,-2.402,0.048306488210679954
161,-2.4,0.04833262986449016
162,-2.398,0.048358146794356995
163,-2.396,0.04838305948496066
164,-2.394,0.04840738841471684
165,-2.392,0.048431154055776665
166,-2.39,0.04845437687402675
167,-2.388,0.04847707732908916
168,-2.386,0.04849927587432145
169,-2.384,0.04852099295681662
170,-2.382,0.04854224901740314
171,-2.38,0.048563064490644944
172,-2.378,0.048583459804841446
173,-2.376,0.04860345538202751
174,-2.374,0.04862307163797347
175,-2.372,0.04864232828219205
176,-2.37,0.04866121974008698
177,-2.368,0.04867973993292546
178,-2.366,0.04869789114002176
179,-2.364,0.04871567574928802
180,-2.362,0.04873309625723424
181,-2.36,0.048750155268968275
182,-2.358,0.04876685549819583
183,-2.356,0.04878319976722048
184,-2.354,0.04879919100694365
185,-2.352,0.048814832256864636
186,-2.35,0.04883012666508057
187,-2.348,0.04884507748828646
188,-2.346,0.048859688091775155
189,-2.344,0.04887396194943738
190,-2.342,0.048887902643761715
191,-2.34,0.04890151386583458
192,-2.338,0.04891479941534027
193,-2.336,0.048927763200560935
194,-2.334,0.04894040923837658
195,-2.332,0.04895274165426507
196,-2.33,0.04896476468230212
197,-2.328,0.04897648266516132
198,-2.326,0.048987900054114096
199,-2.324,0.048999021409029744
200,-2.322,0.04900985139837542
201,-2.32,0.049020394799216147
202,-2.318,0.04903065649721477
203,-2.316,0.04904064148663203
204,-2.314,0.0490503548703265
205,-2.312,0.049059801859754636
206,-2.31,0.04906898777497073
207,-2.308,0.04907791804462693
208,-2.306,0.04908659820597326
209,-2.304,0.0490950339048576
210,-2.302,0.04910323089572567
211,-2.3,0.049111195041621064
212,-2.298,0.049118932314185224
213,-2.296,0.049126448793657455
214,-2.294,0.04913375066887492
215,-2.292,0.04914084423727264
216,-2.29,0.04914773590488349
217,-2.288,0.04915443218633821
218,-2.286,0.04916093970486538
219,-2.284,0.04916726519229146
220,-2.282,0.049173415489040764
221,-2.28,0.04917939754413545
222,-2.278,0.049185218415195554
223,-2.276,0.04919088526843894
224,-2.274,0.049196405378681356
225,-2.272,0.04920178612933641
226,-2.27,0.04920703501241554
227,-2.268,0.04921215962852807
228,-2.266,0.04921716768688116
229,-2.264,0.04922206700527986
230,-2.262,0.04922686551012704
231,-2.26,0.049231571236423445
232,-2.258,0.049236192327767686
233,-2.256,0.04924073703635621
234,-2.254,0.04924521372298335
235,-2.252,0.04924963085704127
236,-2.25,0.04925399701652001
237,-2.2479999999999998,0.049258320888007454
238,-2.246,0.04926261126668936
239,-2.2439999999999998,0.049266877056349336
240,-2.242,0.04927112726936883
241,-2.24,0.049275356969444184
242,-2.238,0.04927953795146162
243,-2.2359999999999998,0.04928366730181291
244,-2.234,0.04928774327308803
245,-2.232,0.049291764190375245
246,-2.23,0.04929572845126109
247,-2.2279999999999998,0.04929963452583038
248,-2.226,0.04930348095666623
249,-2.224,0.049307266358850015
250,-2.222,0.0493109894199614
251,-2.2199999999999998,0.04931464890007832
252,-2.218,0.049318243631777
253,-2.216,0.049321772520131965
