,_full model_x,_full model_y,"_no dynamical
synapse_x","_no dynamical
synapse_y"
0,170.0,206.547853497843,170.0,132.31888389661097
1,120.0,190.74957070038477,120.0,75.74377677117877
2,100.0,184.43025758140146,100.0,53.1137339210059
3,80.0,178.11094446241816,80.0,30.483691070833032
4,60.0,171.79163134343486,60.0,7.853648220660148
