,dynamic_x,dynamic_y,fixed _x,fixed _y
0,-2.722,0.23655219882064468,-2.722,0.0
1,-2.72,0.23045717877104513,-2.72,-0.006095026060913191
2,-2.718,0.2245039247104213,-2.718,-0.012048320955281798
3,-2.716,0.21868917820110462,-2.716,-0.017863174650266083
4,-2.714,0.21300975412259068,-2.714,-0.023542800438915212
5,-2.712,0.20746253412193377,-2.712,-0.029090341724597846
6,-2.71,0.20204446683688498,-2.71,-0.03450887202100213
7,-2.708,0.19675256810779612,-2.708,-0.039801394952135694
8,-2.706,0.19158392117872913,-2.706,-0.04497084425232569
9,-2.704,0.1865356606355597,-2.704,-0.05002009998414763
10,-2.702,0.18160491240659604,-2.702,-0.05495204856181847
11,-2.7,0.17678899632970624,-2.7,-0.05976938079582139
12,-2.698,0.17208530655592902,-2.698,-0.06447471145156523
13,-2.696,0.16749128423759416,-2.696,-0.06907060663915467
14,-2.694,0.16300441765270646,-2.694,-0.07355958381339016
15,-2.692,0.15862224232316813,-2.692,-0.07794411177376805
16,-2.69,0.15434234112706705,-2.69,-0.08222661066448049
17,-2.688,0.15016234440525136,-2.688,-0.08640945197441546
18,-2.686,0.14607993006240735,-2.686,-0.09049495853715674
19,-2.684,0.14209282366285142,-2.684,-0.09448540453098399
20,-2.682,0.13819879852124226,-2.682,-0.09838301547887265
21,-2.68,0.1343956757884148,-2.68,-0.10218996824849408
22,-2.678,0.13068132453253156,-2.678,-0.10590839105221528
23,-2.676,0.12705366181574237,-2.676,-0.10954036344709935
24,-2.674,0.12351065276653897,-2.674,-0.11308791633490495
25,-2.672,0.12005031064798435,-2.672,-0.11655303196208676
26,-2.67,0.11667066364369202,-2.67,-0.11993767705400822
27,-2.668,0.11336964406681894,-2.668,-0.12324391317989399
28,-2.666,0.11014548029341009,-2.666,-0.12647350660062215
29,-2.664,0.10699647533114051,-2.664,-0.12962814882439105
30,-2.662,0.10392095859844913,-2.662,-0.13270950465696282
31,-2.66,0.10091728595848282,-2.66,-0.1357192122016634
32,-2.658,0.09798383975125136,-2.658,-0.13865888285938247
33,-2.656,0.09511902882405532,-2.656,-0.14153010132857347
34,-2.654,0.09232128856024827,-2.654,-0.14433442560525364
35,-2.652,0.08958908090639328,-2.652,-0.147073386983004
36,-2.65,0.08692089439787234,-2.65,-0.1497484900529693
37,-2.648,0.08431524418300693,-2.648,-0.1523612127038581
38,-2.646,0.0817706720457454,-2.646,-0.15491300612194273
39,-2.644,0.0792857464269735,-2.644,-0.15740529479105925
40,-2.642,0.07685906244450144,-2.642,-0.15983947649260755
41,-2.64,0.0744892419117805,-2.64,-0.1622169223055513
42,-2.638,0.07217493335540165,-2.638,-0.1645389766064178
43,-2.636,0.06991481203142613,-2.636,-0.1668069570692983
44,-2.634,0.06770757994059781,-2.634,-0.1690221546658478
45,-2.632,0.0655519658424854,-2.632,-0.17118583366528495
46,-2.63,0.06344672526860204,-2.63,-0.17329923163439226
47,-2.628,0.06139064053454754,-2.628,-0.17536355943751603
48,-2.626,0.05938252075121897,-2.626,-0.17738000123656622
49,-2.624,0.057421201835131885,-2.624,-0.17934971449101678
50,-2.622,0.055505546517896714,-2.622,-0.1812738299579052
51,-2.62,0.05363436377717343,-2.62,-0.1831535319399782
52,-2.618,0.051806471982496216,-2.618,-0.18498999559774815
53,-2.616,0.05002096080527152,-2.616,-0.1867841261101362
54,-2.614,0.04827693997269816,-2.614,-0.1885368087335344
55,-2.612,0.04657353053740276,-2.612,-0.1902489174948068
56,-2.61,0.044909864878750844,-2.61,-0.19192131519128977
57,-2.608,0.04328508670397521,-2.608,-0.1935548533907918
58,-2.606,0.04169835104912742,-2.606,-0.19515037243159353
59,-2.604,0.04014882427985969,-2.604,-0.1967087014224479
60,-2.602,0.03863568409204238,-2.602,-0.19823065824257985
61,-2.6,0.037158119512223864,-2.6,-0.19971704954168662
62,-2.598,0.035715330897939185,-2.598,-0.2011686707399376
63,-2.596,0.03430652993787234,-2.596,-0.20258630602797437
64,-2.594,0.032930939651879765,-2.594,-0.20397072836691074
65,-2.592,0.03158779439087919,-2.592,-0.20532269948833248
66,-2.59,0.030276339836610683,-2.59,-0.20664296989429773
67,-2.588,0.028995833001275173,-2.588,-0.2079322788573369
68,-2.586,0.027745542227055914,-2.586,-0.20919135442045222
69,-2.584,0.026524747185528413,-2.584,-0.21042091339711858
70,-2.582,0.02533273887696441,-2.582,-0.2116216613712826
71,-2.58,0.024168819629534627,-2.58,-0.21279429269736336
72,-2.578,0.023032303098416057,-2.578,-0.21393949050025196
73,-2.576,0.021922514264808818,-2.576,-0.2150579266753118
74,-2.574,0.020838789434866944,-2.574,-0.21615026188837835
75,-2.572,0.019780476238548728,-2.572,-0.21721714557575936
76,-2.57,0.018746933628391416,-2.57,-0.2182592159442347
77,-2.568,0.01773753187821417,-2.568,-0.21927709997105646
78,-2.566,0.01675165258175501,-2.566,-0.2202714134039488
79,-2.564,0.01578868865124572,-2.564,-0.22124276076110816
80,-2.562,0.014848044315928899,-2.562,-0.22219173533120318
81,-2.56,0.013929135120522268,-2.56,-0.2231189191733745
82,-2.558,0.013031387923633675,-2.558,-0.22402488311723517
83,-2.556,0.012154234143759907,-2.556,-0.2249101935387262
84,-2.554,0.011297075068195106,-2.554,-0.2257754476482584
85,-2.552,0.010459491443585017,-2.552,-0.22662106371892127
86,-2.55,0.009641112223648662,-2.55,-0.22744741184896122
87,-2.548,0.008841569527115178,-2.548,-0.22825485902740583
88,-2.546,0.008060498635623276,-2.546,-0.22904376913406407
89,-2.544,0.00729753799166688,-2.544,-0.2298145029395259
90,-2.542,0.0065523291965867425,-2.542,-0.23056741810516246
91,-2.54,0.005824517008606256,-2.54,-0.2313028691831261
92,-2.538,0.005113749340911605,-2.538,-0.23202120761635034
93,-2.536,0.00441967725977363,-2.536,-0.23272278173854974
94,-2.534,0.003741954982711654,-2.534,-0.23340793677422025
95,-2.532,0.0030802398766980876,-2.532,-0.2340770148386389
96,-2.53,0.002434192456401668,-2.53,-0.23473035493786384
97,-2.528,0.0018034763824702205,-2.528,-0.23536829296873438
98,-2.526,0.0011877584598502244,-2.526,-0.23599116171887108
99,-2.524,0.0005867086361436569,-2.524,-0.23659929086667555
