,_control_x,_control_y,_strychnine_x,_strychnine_y
0,170,5.5748977888134705,170,-104.12878150810808
1,120,4.675332320140414,120,-61.19259125616554
2,100,-0.9253399649561541,100,-43.66951155743245
3,80,-8.44591216412503,80,-12.660976885135149
4,60,0.0,60,0.0
