,_EON_x,_EON_y
0,-3.866,0.014779855826979937
1,-3.8640000000000003,0.014478688787503427
2,-3.862,0.014182499515959531
3,-3.8600000000000003,0.013891205809954552
4,-3.858,0.013604726825570512
5,-3.8560000000000003,0.013322982995588229
6,-3.854,0.013045896029487303
7,-3.8520000000000003,0.012773388913446123
8,-3.85,0.012505385910341858
9,-3.8480000000000003,0.012241812361675035
10,-3.846,0.011982593952987002
11,-3.8440000000000003,0.011727659170851007
12,-3.842,0.011476937836950942
13,-3.8400000000000003,0.011230360773349508
14,-3.838,0.010987859802488207
15,-3.8360000000000003,0.01074936774718734
16,-3.834,0.010514818430646021
17,-3.8320000000000003,0.010284146676442158
18,-3.83,0.01005728830853247
19,-3.8280000000000003,0.009834180151252472
20,-3.826,0.00961476002931649
21,-3.8240000000000003,0.009398966767817646
22,-3.822,0.009186740192227873
23,-3.8200000000000003,0.008978021128397901
24,-3.818,0.008772751402557266
25,-3.8160000000000003,0.00857087384131431
26,-3.814,0.008372331796735662
27,-3.8120000000000003,0.008177067476165865
28,-3.81,0.007985027471014917
29,-3.8080000000000003,0.007796159722828227
30,-3.806,0.007610412845639005
31,-3.8040000000000003,0.007427736125968266
32,-3.802,0.007248079522824834
33,-3.8000000000000003,0.007071393667705336
34,-3.798,0.006897629864594208
35,-3.7960000000000003,0.006726740089963688
36,-3.794,0.006558676992773819
37,-3.7920000000000003,0.006393393894472459
38,-3.79,0.0062308447889952556
39,-3.7880000000000003,0.0060709843427656784
40,-3.786,0.005913767894694992
41,-3.7840000000000003,0.00575915145618227
42,-3.782,0.005607091711114395
43,-3.7800000000000002,0.005457546015866049
44,-3.778,0.005310472399299725
45,-3.7760000000000002,0.00516582956276572
46,-3.774,0.005023576880102135
47,-3.7720000000000002,0.0048836743976348775
48,-3.77,0.004746082834177661
49,-3.7680000000000002,0.004610763581032009
50,-3.766,0.004477678701987243
51,-3.7640000000000002,0.004346789315298227
52,-3.762,0.004218056277321363
53,-3.7600000000000002,0.0040914455179890934
54,-3.758,0.003966923520358939
55,-3.7560000000000002,0.003844457155277703
56,-3.754,0.0037240136813814755
57,-3.7520000000000002,0.003605560745095625
58,-3.75,0.003489066380634811
59,-3.748,0.0033744990100029702
60,-3.746,0.003261827442993328
61,-3.744,0.0031510208771883905
62,-3.742,0.0030420488979599498
63,-3.74,0.0029348814784690806
64,-3.738,0.002829488979666145
65,-3.736,0.0027258421502907824
66,-3.734,0.00262391212687192
67,-3.732,0.002523670433727771
68,-3.73,0.002425088982965829
69,-3.728,0.002328140074482874
70,-3.726,0.002232796395964966
71,-3.724,0.0021390310228874554
72,-3.722,0.002046817418514967
73,-3.72,0.0019561294339014226
74,-3.718,0.0018669413078900125
75,-3.716,0.0017792276671132253
76,-3.714,0.0016929635259928244
77,-3.712,0.0016081242867398583
78,-3.71,0.0015246857393546621
79,-3.708,0.0014426240616268564
80,-3.706,0.0013619158191353377
81,-3.704,0.0012825379652482965
82,-3.702,0.0012044678411231996
83,-3.7,0.0011276829014478136
84,-3.698,0.0010521580762060598
85,-3.696,0.0009778728737407597
86,-3.694,0.0009048084810710615
87,-3.692,0.000832946271458565
88,-3.69,0.0007622678044073329
89,-3.688,0.0006927548256638744
90,-3.686,0.0006243892672171611
91,-3.684,0.0005571532472986168
92,-3.682,0.0004910290703821225
93,-3.68,0.0004259992271840145
94,-3.678,0.00036204639466308475
95,-3.676,0.00029915343602058067
96,-3.674,0.00023730340070020513
97,-3.672,0.00017647952438811822
98,-3.67,0.00011666522901293205
99,-3.668,5.784412274571771e-05
100,-3.666,0.0
101,-3.664,-5.688315856823903e-05
102,-3.662,-0.00011282118606056185
103,-3.66,-0.0001678297293360772
104,-3.658,-0.00022192424901143655
105,-3.656,-0.00027512001946083595
106,-3.654,-0.00032743212881601765
107,-3.652,-0.0003788754789662667
108,-3.65,-0.0004294647855584092
109,-3.648,-0.00047921457799682265
110,-3.646,-0.000528139199443424
111,-3.644,-0.0005762528068176762
112,-3.642,-0.0006235693707965853
113,-3.64,-0.0006701026758147034
114,-3.638,-0.000715866320064127
