,_cell_0_x,_cell_0_y,_cell_1_x,_cell_1_y,_cell_2_x,_cell_2_y,_cell_3_x,_cell_3_y,_cell_4_x,_cell_4_y,_cell_5_x,_cell_5_y,_cell_6_x,_cell_6_y,_cell_7_x,_cell_7_y,_cell_8_x,_cell_8_y,_cell_9_x,_cell_9_y,_cell_10_x,_cell_10_y,_cell_11_x,_cell_11_y,_mean_x,_mean_y
0,-1.0,-0.05196650826122035,-1.0,0.0740277978209241,-1.0,0.08423592719104372,-1.0,-0.045348154891271794,-1.0,-0.055410650114857816,-1.0,0.00821447933822687,-1.0,0.07138963902297325,-1.0,0.08272885375371855,-1.0,-0.09589204624546149,-1.0,-0.028825751894485673,-1.0,-0.0036016722713735094,-1.0,-0.0038352060219434833,-1.0,0.0029763922855226984
1,-0.9743589743589743,-0.01146851826350431,-0.9743589743589743,0.12402667034587943,-0.9743589743589743,0.07921853228835236,-0.9743589743589743,-0.006495392079198347,-0.9743589743589743,-0.05533806567732383,-0.9743589743589743,-0.015360604768140504,-0.9743589743589743,0.051434520236941374,-0.9743589743589743,-0.00915931377587276,-0.9743589743589743,-0.01209140516380546,-0.9743589743589743,0.08930161206251883,-0.9743589743589743,-0.019658655021650293,-0.9743589743589743,0.029216106468858784,-0.9743589743589743,0.020302123887754604
2,-0.9487179487179487,-0.005394100395616823,-0.9487179487179487,0.06974635775055853,-0.9487179487179487,-0.011717993901481144,-0.9487179487179487,-0.027682288491685105,-0.9487179487179487,0.0009671464284766689,-0.9487179487179487,-0.03588911644120047,-0.9487179487179487,0.0868260433988723,-0.9487179487179487,0.03201702653637479,-0.9487179487179487,0.035531321498131714,-0.9487179487179487,-0.017268382943891644,-0.9487179487179487,-0.0028264477766017327,-0.9487179487179487,0.02822926625796865,-0.9487179487179487,0.01271156932665881
3,-0.9230769230769231,-0.008695664229375049,-0.9230769230769231,0.09364361133435793,-0.9230769230769231,0.043613502652994955,-0.9230769230769231,-0.01259503113396911,-0.9230769230769231,0.07831779001635389,-0.9230769230769231,-0.04773378885790219,-0.9230769230769231,0.0336734130612673,-0.9230769230769231,-0.0073037597916747014,-0.9230769230769231,-0.062126863009320826,-0.9230769230769231,-0.012429156199295105,-0.9230769230769231,0.030010367225714003,-0.9230769230769231,0.006097469054801514,-0.9230769230769231,0.01120599084366272
4,-0.8974358974358975,0.006323091665114636,-0.8974358974358975,0.13759673887195376,-0.8974358974358975,-0.07847038694950936,-0.8974358974358975,-0.015266463138523707,-0.8974358974358975,0.08102593937807911,-0.8974358974358975,-0.022679247788126602,-0.8974358974358975,0.04299764750738261,-0.8974358974358975,-0.05787256194640858,-0.8974358974358975,-0.008791242809433632,-0.8974358974358975,0.087232040056958,-0.8974358974358975,0.042108219657645996,-0.8974358974358975,0.04278396553125797,-0.8974358974358975,0.021415645003032516
5,-0.8717948717948718,0.029448660344089623,-0.8717948717948718,0.08548476891038653,-0.8717948717948718,-0.02921497756075353,-0.8717948717948718,-0.03551595324146808,-0.8717948717948718,-0.005466309053714306,-0.8717948717948718,-0.024688748006538263,-0.8717948717948718,0.14198150951973285,-0.8717948717948718,0.017138170663156774,-0.8717948717948718,0.07591651864119504,-0.8717948717948718,0.17086087273898476,-0.8717948717948718,0.03642359820977003,-0.8717948717948718,0.018295354541709836,-0.8717948717948718,0.04005528880887927
6,-0.8461538461538461,0.029029724623088924,-0.8461538461538461,0.06540232385319406,-0.8461538461538461,0.01777658058569396,-0.8461538461538461,0.001507223137654856,-0.8461538461538461,-0.008471752020867328,-0.8461538461538461,-0.07526912050244933,-0.8461538461538461,0.06665145991931994,-0.8461538461538461,0.016703244249766352,-0.8461538461538461,-0.023776789425914345,-0.8461538461538461,0.15317096271512232,-0.8461538461538461,0.004853407343134988,-0.8461538461538461,0.021479569637607557,-0.8461538461538461,0.022421402842945998
7,-0.8205128205128205,0.008127168687353366,-0.8205128205128205,0.07953165986115346,-0.8205128205128205,0.02275410395349097,-0.8205128205128205,0.030138276968276662,-0.8205128205128205,0.054030820610654465,-0.8205128205128205,-0.06199298090597033,-0.8205128205128205,-0.06321945371585357,-0.8205128205128205,-0.03162415417682973,-0.8205128205128205,0.015695551460231594,-0.8205128205128205,0.05954966513945594,-0.8205128205128205,0.0030511907862987584,-0.8205128205128205,-0.01619896850137993,-0.8205128205128205,0.008320240013906808
8,-0.7948717948717949,0.09719081096648646,-0.7948717948717949,0.029096223817446344,-0.7948717948717949,0.0017680128735975274,-0.7948717948717949,0.025601978019456625,-0.7948717948717949,-0.04308019341761263,-0.7948717948717949,-0.004491740708324459,-0.7948717948717949,-0.030958959518118886,-0.7948717948717949,-0.02373959295543632,-0.7948717948717949,0.08099149376069982,-0.7948717948717949,0.04781920692392039,-0.7948717948717949,-0.01583716415826139,-0.7948717948717949,-0.02021537498649892,-0.7948717948717949,0.012012058384779548
9,-0.7692307692307693,0.08140083346574899,-0.7692307692307693,0.004506826690760804,-0.7692307692307693,0.05923272235264328,-0.7692307692307693,0.0016313932174858445,-0.7692307692307693,0.04292705759839145,-0.7692307692307693,-0.05958757698416565,-0.7692307692307693,-0.0814585898084382,-0.7692307692307693,-0.010488506033247733,-0.7692307692307693,0.025758601812825677,-0.7692307692307693,0.14905425254366111,-0.7692307692307693,-0.0015911305110088364,-0.7692307692307693,-0.07514582952471162,-0.7692307692307693,0.011353337901662092
