,_control_x,_control_y,_intensity_x,_intensity_y,_duration_x,_duration_y
99,-1.93,0.0,-1.93,0.0,-1.93,0.0
100,-1.92,0.0,-1.92,0.0,-1.92,0.0
101,-1.91,0.0,-1.91,0.0,-1.91,0.0
102,-1.9,0.0,-1.9,0.0,-1.9,0.0
103,-1.89,0.0,-1.89,0.0,-1.89,0.0
104,-1.88,0.0,-1.88,0.0,-1.88,0.0
105,-1.8699999999999999,0.0,-1.8699999999999999,0.0,-1.8699999999999999,0.0
106,-1.8599999999999999,0.0,-1.8599999999999999,0.0,-1.8599999999999999,0.0
107,-1.8499999999999999,0.0,-1.8499999999999999,0.0,-1.8499999999999999,0.0
108,-1.8399999999999999,0.0,-1.8399999999999999,0.0,-1.8399999999999999,0.0
109,-1.8299999999999998,0.0,-1.8299999999999998,0.0,-1.8299999999999998,0.0
110,-1.8199999999999998,0.0,-1.8199999999999998,0.0,-1.8199999999999998,0.0
111,-1.8099999999999998,0.0,-1.8099999999999998,0.0,-1.8099999999999998,0.0
112,-1.7999999999999998,0.0,-1.7999999999999998,0.0,-1.7999999999999998,0.0
113,-1.7899999999999998,0.0,-1.7899999999999998,0.0,-1.7899999999999998,0.0
114,-1.7799999999999998,0.0,-1.7799999999999998,0.0,-1.7799999999999998,0.0
115,-1.7699999999999998,0.0,-1.7699999999999998,0.0,-1.7699999999999998,0.0
116,-1.76,0.0,-1.76,0.0,-1.76,0.0
117,-1.75,0.0,-1.75,0.0,-1.75,0.0
118,-1.74,0.0,-1.74,0.0,-1.74,0.0
119,-1.73,0.0,-1.73,0.0,-1.73,0.0
120,-1.72,0.0,-1.72,0.0,-1.72,0.0
121,-1.71,0.0,-1.71,0.0,-1.71,0.0
122,-1.7,0.0,-1.7,0.0,-1.7,0.0
123,-1.69,0.0,-1.69,0.0,-1.69,0.0
124,-1.68,0.0,-1.68,0.0,-1.68,0.0
125,-1.67,0.0,-1.67,0.0,-1.67,0.0
126,-1.66,0.0,-1.66,0.0,-1.66,0.0
127,-1.65,0.0,-1.65,0.0,-1.65,0.0
128,-1.64,0.0,-1.64,0.0,-1.64,0.0
129,-1.63,0.0,-1.63,0.0,-1.63,0.0
130,-1.6199999999999999,0.0,-1.6199999999999999,0.0,-1.6199999999999999,0.0
131,-1.6099999999999999,0.0,-1.6099999999999999,0.0,-1.6099999999999999,0.0
132,-1.5999999999999999,0.0,-1.5999999999999999,0.0,-1.5999999999999999,0.0
133,-1.5899999999999999,0.0,-1.5899999999999999,0.0,-1.5899999999999999,0.0
134,-1.5799999999999998,0.0,-1.5799999999999998,0.0,-1.5799999999999998,0.0
135,-1.5699999999999998,0.0,-1.5699999999999998,0.0,-1.5699999999999998,0.0
136,-1.5599999999999998,0.0,-1.5599999999999998,0.0,-1.5599999999999998,0.0
137,-1.5499999999999998,0.0,-1.5499999999999998,0.0,-1.5499999999999998,0.0
138,-1.5399999999999998,0.0,-1.5399999999999998,0.0,-1.5399999999999998,0.0
139,-1.5299999999999998,0.0,-1.5299999999999998,0.0,-1.5299999999999998,0.0
140,-1.5199999999999998,0.0,-1.5199999999999998,0.0,-1.5199999999999998,0.0
141,-1.51,0.0,-1.51,0.0,-1.51,0.0
142,-1.5,0.0,-1.5,0.0,-1.5,0.0
143,-1.49,0.0,-1.49,0.0,-1.49,0.0
144,-1.48,0.0,-1.48,0.0,-1.48,0.0
145,-1.47,0.0,-1.47,0.0,-1.47,0.0
146,-1.46,0.0,-1.46,0.0,-1.46,0.0
147,-1.45,0.0,-1.45,0.0,-1.45,0.0
148,-1.44,0.0,-1.44,0.0,-1.44,0.0
149,-1.43,0.0,-1.43,0.0,-1.43,0.0
150,-1.42,0.0,-1.42,0.0,-1.42,0.0
151,-1.41,0.0,-1.41,0.0,-1.41,0.0
152,-1.4,0.0,-1.4,0.0,-1.4,0.0
153,-1.39,0.0,-1.39,0.0,-1.39,0.0
154,-1.38,0.0,-1.38,0.0,-1.38,0.0
155,-1.3699999999999999,0.0,-1.3699999999999999,0.0,-1.3699999999999999,0.0
156,-1.3599999999999999,0.0,-1.3599999999999999,0.0,-1.3599999999999999,0.0
157,-1.3499999999999999,0.0,-1.3499999999999999,0.0,-1.3499999999999999,0.0
158,-1.3399999999999999,0.0,-1.3399999999999999,0.0,-1.3399999999999999,0.0
159,-1.3299999999999998,0.0,-1.3299999999999998,0.0,-1.3299999999999998,0.0
160,-1.3199999999999998,0.0,-1.3199999999999998,0.0,-1.3199999999999998,0.0
161,-1.3099999999999998,0.0,-1.3099999999999998,0.0,-1.3099999999999998,0.0
162,-1.2999999999999998,0.0,-1.2999999999999998,0.0,-1.2999999999999998,0.0
163,-1.2899999999999998,0.0,-1.2899999999999998,0.0,-1.2899999999999998,0.0
164,-1.2799999999999998,0.0,-1.2799999999999998,0.0,-1.2799999999999998,0.0
165,-1.2699999999999998,0.0,-1.2699999999999998,0.0,-1.2699999999999998,0.0
166,-1.2599999999999998,0.0,-1.2599999999999998,0.0,-1.2599999999999998,0.0
167,-1.25,0.0,-1.25,0.0,-1.25,0.0
168,-1.24,0.0,-1.24,0.0,-1.24,0.0
169,-1.23,0.0,-1.23,0.0,-1.23,0.0
170,-1.22,0.0,-1.22,0.0,-1.22,0.0
171,-1.21,0.0,-1.21,0.0,-1.21,0.0
172,-1.2,0.0,-1.2,0.0,-1.2,0.0
173,-1.19,0.0,-1.19,0.0,-1.19,0.0
174,-1.18,0.0,-1.18,0.0,-1.18,0.0
175,-1.17,0.0,-1.17,0.0,-1.17,0.0
176,-1.16,0.0,-1.16,0.0,-1.16,0.0
177,-1.15,0.0,-1.15,0.0,-1.15,0.0
178,-1.14,0.0,-1.14,0.0,-1.14,0.0
179,-1.13,0.0,-1.13,0.0,-1.13,0.0
180,-1.1199999999999999,0.0,-1.1199999999999999,0.0,-1.1199999999999999,0.0
181,-1.1099999999999999,0.0,-1.1099999999999999,0.0,-1.1099999999999999,0.0
182,-1.0999999999999999,0.0,-1.0999999999999999,0.0,-1.0999999999999999,0.0
183,-1.0899999999999999,0.0,-1.0899999999999999,0.0,-1.0899999999999999,0.0
184,-1.0799999999999998,0.0,-1.0799999999999998,0.0,-1.0799999999999998,0.0
185,-1.0699999999999998,0.0,-1.0699999999999998,0.0,-1.0699999999999998,0.0
186,-1.0599999999999998,0.0,-1.0599999999999998,0.0,-1.0599999999999998,0.0
187,-1.0499999999999998,0.0,-1.0499999999999998,0.0,-1.0499999999999998,0.0
188,-1.0399999999999998,0.0,-1.0399999999999998,0.0,-1.0399999999999998,0.0
189,-1.0299999999999998,0.0,-1.0299999999999998,0.0,-1.0299999999999998,0.0
190,-1.0199999999999998,0.0,-1.0199999999999998,0.0,-1.0199999999999998,0.0
191,-1.0099999999999998,0.0,-1.0099999999999998,0.0,-1.0099999999999998,0.0
192,-1.0,0.0,-1.0,0.0,-1.0,0.0
193,-0.99,0.0,-0.99,0.0,-0.99,0.0
194,-0.98,0.0,-0.98,0.0,-0.98,0.0
195,-0.97,0.0,-0.97,0.0,-0.97,0.0
196,-0.96,0.0,-0.96,0.0,-0.96,0.0
197,-0.95,0.0,-0.95,0.0,-0.95,0.0
198,-0.94,0.0,-0.94,0.0,-0.94,0.0
199,-0.9299999999999999,0.0,-0.9299999999999999,0.0,-0.9299999999999999,0.0
200,-0.9199999999999999,0.0,-0.9199999999999999,0.0,-0.9199999999999999,0.0
201,-0.9099999999999997,0.0,-0.9099999999999997,0.0,-0.9099999999999997,0.0
202,-0.8999999999999999,0.0,-0.8999999999999999,0.0,-0.8999999999999999,0.0
203,-0.8899999999999997,0.0,-0.8899999999999997,0.0,-0.8899999999999997,0.0
204,-0.8799999999999999,0.0,-0.8799999999999999,0.0,-0.8799999999999999,0.0
205,-0.8700000000000001,0.0,-0.8700000000000001,0.0,-0.8700000000000001,0.0
206,-0.8599999999999999,0.0,-0.8599999999999999,0.0,-0.8599999999999999,0.0
207,-0.8500000000000001,0.0,-0.8500000000000001,0.0,-0.8500000000000001,0.0
208,-0.8399999999999999,0.0,-0.8399999999999999,0.0,-0.8399999999999999,0.0
209,-0.8300000000000001,0.0,-0.8300000000000001,0.0,-0.8300000000000001,0.0
210,-0.8199999999999998,0.0,-0.8199999999999998,0.0,-0.8199999999999998,0.0
211,-0.81,0.0,-0.81,0.0,-0.81,0.0
212,-0.7999999999999998,0.0,-0.7999999999999998,0.0,-0.7999999999999998,0.0
213,-0.79,0.0,-0.79,0.0,-0.79,0.0
214,-0.7799999999999998,0.0,-0.7799999999999998,0.0,-0.7799999999999998,0.0
215,-0.77,0.0,-0.77,0.0,-0.77,0.0
216,-0.7599999999999998,0.0,-0.7599999999999998,0.0,-0.7599999999999998,0.0
217,-0.75,0.0,-0.75,0.0,-0.75,0.0
218,-0.7399999999999998,0.0,-0.7399999999999998,0.0,-0.7399999999999998,0.0
219,-0.73,0.0,-0.73,0.0,-0.73,0.0
220,-0.7199999999999998,0.0,-0.7199999999999998,0.0,-0.7199999999999998,0.0
221,-0.71,0.0,-0.71,0.0,-0.71,0.0
222,-0.6999999999999997,0.0,-0.6999999999999997,0.0,-0.6999999999999997,0.0
223,-0.69,0.0,-0.69,0.0,-0.69,0.0
224,-0.6799999999999997,0.0,-0.6799999999999997,0.0,-0.6799999999999997,0.0
225,-0.6699999999999999,0.0,-0.6699999999999999,0.0,-0.6699999999999999,0.0
226,-0.6599999999999997,0.0,-0.6599999999999997,0.0,-0.6599999999999997,0.0
227,-0.6499999999999999,0.0,-0.6499999999999999,0.0,-0.6499999999999999,0.0
228,-0.6399999999999997,0.0,-0.6399999999999997,0.0,-0.6399999999999997,0.0
229,-0.6299999999999999,0.0,-0.6299999999999999,0.0,-0.6299999999999999,0.0
230,-0.6199999999999997,0.0,-0.6199999999999997,0.0,-0.6199999999999997,0.0
231,-0.6099999999999999,0.0,-0.6099999999999999,0.0,-0.6099999999999999,0.0
232,-0.6000000000000001,0.0,-0.6000000000000001,0.0,-0.6000000000000001,0.0
233,-0.5899999999999999,0.0,-0.5899999999999999,0.0,-0.5899999999999999,0.0
234,-0.5800000000000001,0.0,-0.5800000000000001,0.0,-0.5800000000000001,0.0
235,-0.5699999999999998,0.0,-0.5699999999999998,0.0,-0.5699999999999998,0.0
236,-0.56,0.0,-0.56,0.0,-0.56,0.0
237,-0.5499999999999998,3.333333333333333,-0.5499999999999998,3.333333333333333,-0.5499999999999998,0.0
238,-0.54,3.333333333333333,-0.54,3.333333333333333,-0.54,0.0
239,-0.5299999999999998,3.333333333333333,-0.5299999999999998,3.333333333333333,-0.5299999999999998,0.0
240,-0.52,3.333333333333333,-0.52,3.333333333333333,-0.52,0.0
241,-0.5099999999999998,3.333333333333333,-0.5099999999999998,3.333333333333333,-0.5099999999999998,0.0
242,-0.5,0.0,-0.5,3.333333333333333,-0.5,0.0
243,-0.48999999999999977,0.0,-0.48999999999999977,0.0,-0.48999999999999977,0.0
244,-0.48,0.0,-0.48,0.0,-0.48,0.0
245,-0.46999999999999975,0.0,-0.46999999999999975,0.0,-0.46999999999999975,0.0
246,-0.45999999999999996,0.0,-0.45999999999999996,0.0,-0.45999999999999996,0.0
247,-0.44999999999999973,0.0,-0.44999999999999973,0.0,-0.44999999999999973,0.0
248,-0.43999999999999995,0.0,-0.43999999999999995,0.0,-0.43999999999999995,0.0
249,-0.4299999999999997,0.0,-0.4299999999999997,0.0,-0.4299999999999997,0.0
250,-0.41999999999999993,0.0,-0.41999999999999993,0.0,-0.41999999999999993,0.0
251,-0.4099999999999997,0.0,-0.4099999999999997,0.0,-0.4099999999999997,0.0
252,-0.3999999999999999,0.0,-0.3999999999999999,0.0,-0.3999999999999999,0.0
253,-0.3899999999999997,0.0,-0.3899999999999997,0.0,-0.3899999999999997,0.0
254,-0.3799999999999999,0.0,-0.3799999999999999,0.0,-0.3799999999999999,0.0
255,-0.36999999999999966,0.0,-0.36999999999999966,0.0,-0.36999999999999966,0.0
256,-0.3599999999999999,0.0,-0.3599999999999999,0.0,-0.3599999999999999,0.0
257,-0.3500000000000001,0.0,-0.3500000000000001,0.0,-0.3500000000000001,0.0
258,-0.33999999999999986,0.0,-0.33999999999999986,0.0,-0.33999999999999986,0.0
259,-0.33000000000000007,0.0,-0.33000000000000007,0.0,-0.33000000000000007,0.0
260,-0.31999999999999984,0.0,-0.31999999999999984,0.0,-0.31999999999999984,0.0
261,-0.31000000000000005,0.0,-0.31000000000000005,0.0,-0.31000000000000005,0.0
262,-0.2999999999999998,0.0,-0.2999999999999998,0.0,-0.2999999999999998,0.0
263,-0.29000000000000004,0.0,-0.29000000000000004,0.0,-0.29000000000000004,0.0
264,-0.2799999999999998,0.0,-0.2799999999999998,0.0,-0.2799999999999998,0.0
265,-0.27,0.0,-0.27,0.0,-0.27,0.0
266,-0.2599999999999998,0.0,-0.2599999999999998,0.0,-0.2599999999999998,0.0
267,-0.25,0.0,-0.25,0.0,-0.25,0.0
268,-0.23999999999999977,0.0,-0.23999999999999977,0.0,-0.23999999999999977,0.0
269,-0.22999999999999998,0.0,-0.22999999999999998,0.0,-0.22999999999999998,0.0
270,-0.21999999999999975,0.0,-0.21999999999999975,0.0,-0.21999999999999975,0.0
271,-0.20999999999999996,0.0,-0.20999999999999996,0.0,-0.20999999999999996,0.0
272,-0.19999999999999973,0.0,-0.19999999999999973,0.0,-0.19999999999999973,0.0
273,-0.18999999999999995,0.0,-0.18999999999999995,0.0,-0.18999999999999995,0.0
274,-0.17999999999999972,0.0,-0.17999999999999972,0.0,-0.17999999999999972,0.0
275,-0.16999999999999993,0.0,-0.16999999999999993,0.0,-0.16999999999999993,0.0
276,-0.1599999999999997,0.0,-0.1599999999999997,0.0,-0.1599999999999997,0.0
277,-0.1499999999999999,0.0,-0.1499999999999999,0.0,-0.1499999999999999,0.0
278,-0.13999999999999968,0.0,-0.13999999999999968,0.0,-0.13999999999999968,0.0
279,-0.1299999999999999,0.0,-0.1299999999999999,0.0,-0.1299999999999999,0.0
280,-0.11999999999999966,0.0,-0.11999999999999966,0.0,-0.11999999999999966,0.0
281,-0.10999999999999988,0.0,-0.10999999999999988,0.0,-0.10999999999999988,0.0
282,-0.10000000000000009,0.0,-0.10000000000000009,0.0,-0.10000000000000009,0.0
283,-0.08999999999999986,0.0,-0.08999999999999986,0.0,-0.08999999999999986,0.0
284,-0.08000000000000007,0.0,-0.08000000000000007,0.0,-0.08000000000000007,0.0
285,-0.06999999999999984,0.0,-0.06999999999999984,0.0,-0.06999999999999984,0.0
286,-0.06000000000000005,0.0,-0.06000000000000005,0.0,-0.06000000000000005,0.0
287,-0.04999999999999982,0.0,-0.04999999999999982,0.0,-0.04999999999999982,0.0
288,-0.040000000000000036,0.0,-0.040000000000000036,0.0,-0.040000000000000036,0.0
289,-0.029999999999999805,0.0,-0.029999999999999805,0.0,-0.029999999999999805,0.0
290,-0.020000000000000018,0.0,-0.020000000000000018,0.0,-0.020000000000000018,0.0
291,-0.009999999999999787,0.0,-0.009999999999999787,0.0,-0.009999999999999787,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0
293,0.010000000000000231,0.0,0.010000000000000231,0.0,0.010000000000000231,0.0
294,0.020000000000000018,0.0,0.020000000000000018,0.0,0.020000000000000018,0.0
295,0.03000000000000025,0.0,0.03000000000000025,0.0,0.03000000000000025,0.0
296,0.040000000000000036,0.0,0.040000000000000036,0.0,0.040000000000000036,0.0
297,0.050000000000000266,0.0,0.050000000000000266,0.0,0.050000000000000266,0.0
298,0.06000000000000005,0.0,0.06000000000000005,0.0,0.06000000000000005,0.0
299,0.07000000000000028,0.0,0.07000000000000028,0.0,0.07000000000000028,0.0
300,0.08000000000000007,3.333333333333333,0.08000000000000007,0.0,0.08000000000000007,0.0
301,0.0900000000000003,3.333333333333333,0.0900000000000003,3.333333333333333,0.0900000000000003,3.333333333333333
302,0.10000000000000009,10.0,0.10000000000000009,6.666666666666666,0.10000000000000009,6.666666666666666
303,0.11000000000000032,16.666666666666664,0.11000000000000032,13.333333333333332,0.11000000000000032,13.333333333333332
304,0.1200000000000001,26.666666666666664,0.1200000000000001,23.333333333333332,0.1200000000000001,20.0
305,0.13000000000000034,40.0,0.13000000000000034,36.666666666666664,0.13000000000000034,33.33333333333333
306,0.14000000000000012,50.0,0.14000000000000012,50.0,0.14000000000000012,43.333333333333336
307,0.15000000000000036,60.0,0.15000000000000036,60.0,0.15000000000000036,56.666666666666664
308,0.16000000000000014,66.66666666666666,0.16000000000000014,70.0,0.16000000000000014,63.33333333333333
309,0.16999999999999993,70.0,0.16999999999999993,73.33333333333333,0.16999999999999993,70.0
310,0.18000000000000016,66.66666666666666,0.18000000000000016,70.0,0.18000000000000016,70.0
311,0.18999999999999995,56.666666666666664,0.18999999999999995,63.33333333333333,0.18999999999999995,63.33333333333333
312,0.20000000000000018,46.666666666666664,0.20000000000000018,53.33333333333333,0.20000000000000018,53.33333333333333
313,0.20999999999999996,33.33333333333333,0.20999999999999996,43.333333333333336,0.20999999999999996,43.333333333333336
314,0.2200000000000002,23.333333333333332,0.2200000000000002,30.0,0.2200000000000002,30.0
315,0.22999999999999998,13.333333333333332,0.22999999999999998,20.0,0.22999999999999998,20.0
316,0.2400000000000002,6.666666666666666,0.2400000000000002,13.333333333333332,0.2400000000000002,13.333333333333332
317,0.25,3.333333333333333,0.25,6.666666666666666,0.25,6.666666666666666
318,0.26000000000000023,0.0,0.26000000000000023,3.333333333333333,0.26000000000000023,3.333333333333333
319,0.27,0.0,0.27,0.0,0.27,0.0
320,0.28000000000000025,0.0,0.28000000000000025,0.0,0.28000000000000025,0.0
321,0.29000000000000004,0.0,0.29000000000000004,0.0,0.29000000000000004,0.0
322,0.30000000000000027,0.0,0.30000000000000027,0.0,0.30000000000000027,0.0
323,0.31000000000000005,0.0,0.31000000000000005,0.0,0.31000000000000005,0.0
324,0.3200000000000003,0.0,0.3200000000000003,0.0,0.3200000000000003,0.0
325,0.33000000000000007,0.0,0.33000000000000007,0.0,0.33000000000000007,0.0
326,0.3400000000000003,0.0,0.3400000000000003,0.0,0.3400000000000003,0.0
