,12_x,12_y,5_x,5_y,_line2_x,_line2_y,_line3_x,_line3_y
0,170.0,449.9999999999997,170.0,451.99999999999994,170.0,460.3188838966113,170.0,450.67961375303156
1,120.0,416.00000000000034,120.0,418.00000000000017,120.0,403.74377677117906,120.0,419.0959227506063
2,100.0,383.9999999999999,100.0,403.9999999999999,100.0,381.1137339210062,100.0,406.4624463496362
3,80.0,370.0000000000001,80.0,396.00000000000034,80.0,358.4836910708333,80.0,393.8289699486661
4,60.0,328.0000000000003,60.0,385.99999999999966,60.0,335.85364822066043,60.0,381.195493547696
