,_control_x,_control_y,_strychnine_x,_strychnine_y
0,1.0,1.042420817831848,2.0,-0.11472736864495912
1,1.0,0.675890959696469,2.0,-0.41356418352529783
2,1.0,1.4249319701173166,2.0,-0.7186376322269229
3,1.0,1.1528277648832623,2.0,-0.6184623183161745
4,1.0,1.5500536496402002,2.0,-0.6192418338940897
5,1.0,1.2594023513501535,2.0,-0.03936848731014653
6,1.0,1.2912349638772471,2.0,0.07146102548981681
7,1.0,1.1234965497481875,2.0,0.7986739145967883
8,1.0,1.3276151047190243,2.0,0.6327545185196981
9,1.0,0.6045599020991472,2.0,-0.016630825248698185
10,1.0,0.9410114891819739,2.0,0.5745291237910093
11,1.0,1.1205081867379834,2.0,1.338009427019177
