,6 Hz_x,6 Hz_y,8 Hz_x,8 Hz_y,10 Hz_x,10 Hz_y,12 Hz_x,12 Hz_y,16 Hz_x,16 Hz_y
62,-2.32,0.0,-2.32,0.0,-2.32,0.0,-2.32,0.0,-2.32,0.0
63,-2.31,0.0,-2.31,0.0,-2.31,0.0,-2.31,0.0,-2.31,0.0
64,-2.3,0.0,-2.3,0.0,-2.3,0.0,-2.3,0.0,-2.3,0.0
65,-2.29,0.0,-2.29,0.0,-2.29,0.0,-2.29,0.0,-2.29,0.0
66,-2.28,0.0,-2.28,0.0,-2.28,0.0,-2.28,0.0,-2.28,0.0
67,-2.27,0.0,-2.27,0.0,-2.27,0.0,-2.27,0.0,-2.27,0.0
68,-2.26,0.0,-2.26,0.0,-2.26,0.0,-2.26,0.0,-2.26,0.0
69,-2.25,0.0,-2.25,0.0,-2.25,0.0,-2.25,0.0,-2.25,0.0
70,-2.2399999999999998,0.0,-2.2399999999999998,0.0,-2.2399999999999998,0.0,-2.2399999999999998,0.0,-2.2399999999999998,0.0
71,-2.23,0.0,-2.23,0.0,-2.23,0.0,-2.23,0.0,-2.23,0.0
72,-2.2199999999999998,0.0,-2.2199999999999998,0.0,-2.2199999999999998,0.0,-2.2199999999999998,0.0,-2.2199999999999998,0.0
73,-2.21,0.0,-2.21,0.0,-2.21,0.0,-2.21,0.0,-2.21,0.0
74,-2.2,0.0,-2.2,0.0,-2.2,0.0,-2.2,0.0,-2.2,0.0
75,-2.19,0.0,-2.19,0.0,-2.19,0.0,-2.19,0.0,-2.19,0.0
76,-2.1799999999999997,0.0,-2.1799999999999997,0.0,-2.1799999999999997,0.0,-2.1799999999999997,0.0,-2.1799999999999997,0.0
77,-2.17,0.0,-2.17,0.0,-2.17,0.0,-2.17,0.0,-2.17,0.0
78,-2.16,0.0,-2.16,0.0,-2.16,0.0,-2.16,0.0,-2.16,0.0
79,-2.15,0.0,-2.15,0.0,-2.15,0.0,-2.15,0.0,-2.15,0.0
80,-2.1399999999999997,0.0,-2.1399999999999997,0.0,-2.1399999999999997,0.0,-2.1399999999999997,0.0,-2.1399999999999997,0.0
81,-2.13,0.0,-2.13,0.0,-2.13,0.0,-2.13,0.0,-2.13,0.0
82,-2.12,0.0,-2.12,0.0,-2.12,0.0,-2.12,0.0,-2.12,0.0
83,-2.11,0.0,-2.11,0.0,-2.11,0.0,-2.11,0.0,-2.11,0.0
84,-2.1,0.0,-2.1,0.0,-2.1,0.0,-2.1,0.0,-2.1,0.0
85,-2.09,0.0,-2.09,0.0,-2.09,0.0,-2.09,0.0,-2.09,0.0
86,-2.08,0.0,-2.08,0.0,-2.08,0.0,-2.08,0.0,-2.08,0.0
87,-2.07,0.0,-2.07,0.0,-2.07,0.0,-2.07,0.0,-2.07,0.0
88,-2.06,0.0,-2.06,0.0,-2.06,0.0,-2.06,0.0,-2.06,0.0
89,-2.05,0.0,-2.05,0.0,-2.05,0.0,-2.05,0.0,-2.05,0.0
90,-2.04,0.0,-2.04,0.0,-2.04,0.0,-2.04,0.0,-2.04,0.0
91,-2.03,0.0,-2.03,0.0,-2.03,0.0,-2.03,0.0,-2.03,0.0
92,-2.02,0.0,-2.02,0.0,-2.02,0.0,-2.02,0.0,-2.02,0.0
93,-2.01,0.0,-2.01,0.0,-2.01,0.0,-2.01,0.0,-2.01,0.0
94,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0
95,-1.9899999999999998,0.0,-1.9899999999999998,0.0,-1.9899999999999998,0.0,-1.9899999999999998,0.0,-1.9899999999999998,0.0
96,-1.98,0.0,-1.98,0.0,-1.98,0.0,-1.98,0.0,-1.98,0.0
97,-1.97,0.0,-1.97,0.0,-1.97,0.0,-1.97,0.0,-1.97,0.0
98,-1.96,0.0,-1.96,0.0,-1.96,0.0,-1.96,0.0,-1.96,0.0
99,-1.95,0.0,-1.95,0.0,-1.95,0.0,-1.95,0.0,-1.95,0.0
100,-1.94,0.0,-1.94,0.0,-1.94,0.0,-1.94,0.0,-1.94,0.0
101,-1.93,0.0,-1.93,0.0,-1.93,0.0,-1.93,0.0,-1.93,0.0
102,-1.92,0.0,-1.92,0.0,-1.92,0.0,-1.92,0.0,-1.92,0.0
103,-1.91,0.0,-1.91,0.0,-1.91,0.0,-1.91,0.0,-1.91,0.0
104,-1.9,0.0,-1.9,0.0,-1.9,0.0,-1.9,0.0,-1.9,0.0
105,-1.89,0.0,-1.89,0.0,-1.89,0.0,-1.89,0.0,-1.89,0.0
106,-1.88,0.0,-1.88,0.0,-1.88,0.0,-1.88,0.0,-1.88,0.0
107,-1.8699999999999999,0.0,-1.8699999999999999,0.0,-1.8699999999999999,0.0,-1.8699999999999999,0.0,-1.8699999999999999,0.0
108,-1.8599999999999999,0.0,-1.8599999999999999,0.0,-1.8599999999999999,0.0,-1.8599999999999999,0.0,-1.8599999999999999,0.0
109,-1.8499999999999999,0.0,-1.8499999999999999,0.0,-1.8499999999999999,0.0,-1.8499999999999999,0.0,-1.8499999999999999,0.0
110,-1.8399999999999999,0.0,-1.8399999999999999,0.0,-1.8399999999999999,0.0,-1.8399999999999999,0.0,-1.8399999999999999,0.0
111,-1.8299999999999998,0.0,-1.8299999999999998,0.0,-1.8299999999999998,0.0,-1.8299999999999998,0.0,-1.8299999999999998,0.0
112,-1.8199999999999998,0.0,-1.8199999999999998,0.0,-1.8199999999999998,0.0,-1.8199999999999998,0.0,-1.8199999999999998,0.0
113,-1.8099999999999998,0.0,-1.8099999999999998,0.0,-1.8099999999999998,0.0,-1.8099999999999998,0.0,-1.8099999999999998,0.0
114,-1.7999999999999998,0.0,-1.7999999999999998,0.0,-1.7999999999999998,0.0,-1.7999999999999998,0.0,-1.7999999999999998,0.0
115,-1.7899999999999998,0.0,-1.7899999999999998,0.0,-1.7899999999999998,0.0,-1.7899999999999998,0.0,-1.7899999999999998,0.0
116,-1.78,0.0,-1.78,0.0,-1.78,0.0,-1.78,0.0,-1.78,0.0
117,-1.77,0.0,-1.77,0.0,-1.77,0.0,-1.77,0.0,-1.77,0.0
118,-1.76,0.0,-1.76,0.0,-1.76,0.0,-1.76,0.0,-1.76,0.0
