,6 Hz_x,6 Hz_y
0,-4.02,0.0
1,-4.01,0.0
2,-3.9999999999999996,0.0
3,-3.9899999999999998,0.0
4,-3.9799999999999995,0.0
5,-3.9699999999999998,0.0
6,-3.9599999999999995,0.0
7,-3.9499999999999997,0.0
8,-3.9399999999999995,0.0
9,-3.9299999999999997,0.0
10,-3.9199999999999995,0.0
11,-3.9099999999999997,0.0
12,-3.8999999999999995,0.0
13,-3.8899999999999997,0.0
14,-3.8799999999999994,0.0
15,-3.8699999999999997,0.0
16,-3.8599999999999994,0.0
17,-3.8499999999999996,0.0
18,-3.8399999999999994,0.0
19,-3.8299999999999996,0.0
20,-3.8199999999999994,0.0
21,-3.8099999999999996,0.0
22,-3.7999999999999994,0.0
23,-3.7899999999999996,0.0
24,-3.7799999999999994,0.0
25,-3.7699999999999996,0.0
26,-3.76,0.0
27,-3.7499999999999996,0.0
28,-3.7399999999999993,0.0
29,-3.7299999999999995,0.0
30,-3.7199999999999998,0.0
31,-3.7099999999999995,0.0
32,-3.6999999999999997,0.0
33,-3.6899999999999995,0.0
34,-3.6799999999999997,0.0
35,-3.6699999999999995,0.0
36,-3.6599999999999997,0.0
37,-3.6499999999999995,0.0
38,-3.6399999999999997,0.0
39,-3.6299999999999994,0.0
40,-3.6199999999999997,0.0
41,-3.6099999999999994,0.0
42,-3.5999999999999996,0.0
43,-3.5899999999999994,0.0
44,-3.5799999999999996,0.0
45,-3.5699999999999994,0.0
46,-3.5599999999999996,0.0
47,-3.5499999999999994,0.0
48,-3.5399999999999996,0.0
49,-3.5299999999999994,0.0
50,-3.5199999999999996,0.0
51,-3.51,0.0
52,-3.4999999999999996,0.0
53,-3.4899999999999993,0.0
54,-3.4799999999999995,0.0
55,-3.4699999999999998,0.0
56,-3.4599999999999995,0.0
57,-3.4499999999999993,0.0
58,-3.4399999999999995,0.0
59,-3.4299999999999997,0.0
60,-3.4199999999999995,0.0
61,-3.4099999999999997,0.0
62,-3.3999999999999995,0.0
63,-3.3899999999999997,0.0
64,-3.3799999999999994,0.0
65,-3.3699999999999997,0.0
66,-3.3599999999999994,0.0
67,-3.3499999999999996,0.0
68,-3.3399999999999994,0.0
69,-3.3299999999999996,0.0
70,-3.3199999999999994,0.0
71,-3.3099999999999996,0.0
72,-3.3,0.0
73,-3.2899999999999996,0.0
74,-3.2799999999999994,0.0
75,-3.2699999999999996,0.0
76,-3.26,0.0
77,-3.2499999999999996,0.0
78,-3.2399999999999993,0.0
79,-3.2299999999999995,0.0
80,-3.2199999999999998,0.0
81,-3.2099999999999995,0.0
82,-3.1999999999999993,0.0
83,-3.1899999999999995,0.0
84,-3.1799999999999997,0.0
85,-3.1699999999999995,0.0
86,-3.1599999999999997,0.0
87,-3.1499999999999995,0.0
88,-3.1399999999999997,0.0
89,-3.1299999999999994,0.0
90,-3.1199999999999997,0.0
91,-3.1099999999999994,0.0
92,-3.0999999999999996,0.0
93,-3.0899999999999994,0.0
94,-3.0799999999999996,0.0
95,-3.0699999999999994,0.0
96,-3.0599999999999996,0.0
97,-3.05,0.0
98,-3.0399999999999996,0.0
99,-3.0299999999999994,0.0
100,-3.0199999999999996,0.0
101,-3.01,0.0
102,-2.9999999999999996,0.0
103,-2.9899999999999993,0.0
104,-2.9799999999999995,0.0
105,-2.9699999999999998,0.0
106,-2.9599999999999995,0.0
107,-2.9499999999999993,0.0
108,-2.9399999999999995,0.0
109,-2.9299999999999997,0.0
110,-2.9199999999999995,0.0
111,-2.9099999999999993,0.0
112,-2.8999999999999995,0.0
113,-2.8899999999999997,0.0
114,-2.8799999999999994,0.0
115,-2.869999999999999,0.0
116,-2.8599999999999994,0.0
117,-2.8499999999999996,0.0
118,-2.84,0.0
119,-2.8299999999999996,0.0
120,-2.8199999999999994,0.0
121,-2.8099999999999996,0.0
122,-2.8,0.0
123,-2.7899999999999996,0.0
124,-2.7799999999999994,0.0
125,-2.7699999999999996,0.0
126,-2.76,0.0
127,-2.7499999999999996,0.0
128,-2.7399999999999993,0.0
129,-2.7299999999999995,0.0
130,-2.7199999999999998,0.0
131,-2.7099999999999995,0.0
132,-2.6999999999999993,0.0
133,-2.6899999999999995,0.0
134,-2.6799999999999997,0.0
135,-2.6699999999999995,0.0
136,-2.6599999999999993,0.0
137,-2.6499999999999995,0.0
138,-2.6399999999999997,0.0
139,-2.6299999999999994,0.0
140,-2.619999999999999,0.0
141,-2.6099999999999994,0.0
142,-2.5999999999999996,0.0
143,-2.59,0.0
144,-2.5799999999999996,0.0
145,-2.5699999999999994,0.0
146,-2.5599999999999996,0.0
147,-2.55,0.0
148,-2.5399999999999996,0.0
149,-2.5299999999999994,0.0
150,-2.5199999999999996,0.0
151,-2.51,0.0
152,-2.4999999999999996,0.0
153,-2.4899999999999993,0.0
154,-2.4799999999999995,0.0
155,-2.4699999999999998,0.0
156,-2.4599999999999995,0.0
157,-2.4499999999999993,0.0
158,-2.4399999999999995,0.0
159,-2.4299999999999997,0.0
160,-2.4199999999999995,0.0
161,-2.4099999999999993,0.0
162,-2.3999999999999995,0.0
163,-2.3899999999999997,0.0
164,-2.3799999999999994,0.0
165,-2.369999999999999,0.0
166,-2.3599999999999994,0.0
167,-2.3499999999999996,0.0
168,-2.34,0.0
169,-2.3299999999999996,0.0
170,-2.3199999999999994,0.0
171,-2.3099999999999996,0.0
172,-2.3,0.0
173,-2.2899999999999996,0.0
174,-2.2799999999999994,0.0
175,-2.2699999999999996,0.0
176,-2.26,0.0
177,-2.2499999999999996,0.0
178,-2.2399999999999993,0.0
179,-2.2299999999999995,0.0
180,-2.2199999999999998,0.0
181,-2.2099999999999995,0.0
182,-2.1999999999999993,0.0
183,-2.1899999999999995,0.0
184,-2.1799999999999997,0.0
185,-2.1699999999999995,0.0
186,-2.1599999999999993,0.0
187,-2.1499999999999995,0.0
188,-2.1399999999999997,0.0
189,-2.1299999999999994,0.0
190,-2.119999999999999,0.0
191,-2.1099999999999994,0.0
192,-2.0999999999999996,0.0
193,-2.09,0.0
194,-2.0799999999999996,0.0
195,-2.0699999999999994,0.0
196,-2.0599999999999996,0.0
197,-2.05,0.0
198,-2.0399999999999996,0.0
199,-2.0299999999999994,0.0
200,-2.0199999999999996,0.0
201,-2.0099999999999993,0.0
202,-1.9999999999999996,0.0
203,-1.9899999999999993,0.0
204,-1.9799999999999995,0.0
205,-1.9699999999999998,0.0
206,-1.9599999999999995,0.0
207,-1.9499999999999997,0.0
208,-1.9399999999999995,0.0
209,-1.9299999999999997,0.0
210,-1.9199999999999995,0.0
211,-1.9099999999999997,0.0
212,-1.8999999999999995,0.0
213,-1.8899999999999997,0.0
214,-1.8799999999999994,3.333333333333333
215,-1.8699999999999997,3.333333333333333
216,-1.8599999999999994,3.333333333333333
217,-1.8499999999999996,3.333333333333333
218,-1.8399999999999994,3.333333333333333
219,-1.8299999999999996,3.333333333333333
220,-1.8199999999999994,3.333333333333333
221,-1.8099999999999996,3.333333333333333
222,-1.7999999999999994,3.333333333333333
223,-1.7899999999999996,3.333333333333333
224,-1.7799999999999994,3.333333333333333
225,-1.7699999999999996,3.333333333333333
226,-1.7599999999999993,3.333333333333333
227,-1.7499999999999996,6.666666666666666
228,-1.7399999999999993,6.666666666666666
229,-1.7299999999999995,6.666666666666666
230,-1.7199999999999993,6.666666666666666
231,-1.7099999999999995,6.666666666666666
232,-1.6999999999999997,6.666666666666666
233,-1.6899999999999995,10.0
234,-1.6799999999999997,10.0
235,-1.6699999999999995,10.0
236,-1.6599999999999997,10.0
237,-1.6499999999999995,10.0
238,-1.6399999999999997,10.0
239,-1.6299999999999994,10.0
240,-1.6199999999999997,10.0
241,-1.6099999999999994,10.0
242,-1.5999999999999996,10.0
243,-1.5899999999999994,6.666666666666666
244,-1.5799999999999996,6.666666666666666
245,-1.5699999999999994,6.666666666666666
246,-1.5599999999999996,6.666666666666666
247,-1.5499999999999994,6.666666666666666
248,-1.5399999999999996,6.666666666666666
249,-1.5299999999999994,6.666666666666666
250,-1.5199999999999996,6.666666666666666
251,-1.5099999999999993,6.666666666666666
252,-1.4999999999999996,6.666666666666666
253,-1.4899999999999993,3.333333333333333
254,-1.4799999999999995,3.333333333333333
255,-1.4699999999999993,3.333333333333333
256,-1.4599999999999995,3.333333333333333
257,-1.4499999999999997,3.333333333333333
258,-1.4399999999999995,3.333333333333333
259,-1.4299999999999997,0.0
260,-1.4199999999999995,0.0
261,-1.4099999999999997,3.333333333333333
262,-1.3999999999999995,3.333333333333333
263,-1.3899999999999997,3.333333333333333
264,-1.3799999999999994,3.333333333333333
265,-1.3699999999999997,3.333333333333333
266,-1.3599999999999994,3.333333333333333
267,-1.3499999999999996,3.333333333333333
268,-1.3399999999999994,3.333333333333333
269,-1.3299999999999996,3.333333333333333
270,-1.3199999999999994,3.333333333333333
271,-1.3099999999999996,3.333333333333333
272,-1.2999999999999994,0.0
273,-1.2899999999999996,0.0
274,-1.2799999999999994,0.0
275,-1.2699999999999996,0.0
276,-1.2599999999999993,0.0
277,-1.2499999999999996,0.0
278,-1.2399999999999993,0.0
279,-1.2299999999999995,0.0
280,-1.2199999999999993,0.0
281,-1.2099999999999995,0.0
282,-1.1999999999999997,0.0
283,-1.1899999999999995,0.0
284,-1.1799999999999997,0.0
285,-1.1699999999999995,0.0
286,-1.1599999999999997,0.0
287,-1.1499999999999995,0.0
288,-1.1399999999999997,0.0
289,-1.1299999999999994,0.0
290,-1.1199999999999997,0.0
291,-1.1099999999999994,0.0
292,-1.0999999999999996,0.0
293,-1.0899999999999994,0.0
294,-1.0799999999999996,0.0
295,-1.0699999999999994,0.0
296,-1.0599999999999996,0.0
297,-1.0499999999999994,0.0
298,-1.0399999999999996,0.0
299,-1.0299999999999994,0.0
300,-1.0199999999999996,0.0
301,-1.0099999999999993,0.0
302,-0.9999999999999996,0.0
303,-0.9899999999999993,0.0
304,-0.9799999999999995,0.0
305,-0.9699999999999993,0.0
306,-0.9599999999999995,0.0
307,-0.9499999999999993,0.0
308,-0.9399999999999995,0.0
309,-0.9299999999999997,0.0
310,-0.9199999999999995,0.0
311,-0.9099999999999997,0.0
312,-0.8999999999999995,0.0
313,-0.8899999999999997,0.0
314,-0.8799999999999994,0.0
315,-0.8699999999999997,0.0
316,-0.8599999999999994,0.0
317,-0.8499999999999996,0.0
318,-0.8399999999999994,0.0
319,-0.8299999999999996,0.0
320,-0.8199999999999994,0.0
321,-0.8099999999999996,0.0
322,-0.7999999999999994,0.0
323,-0.7899999999999996,0.0
324,-0.7799999999999994,0.0
325,-0.7699999999999996,0.0
326,-0.7599999999999993,0.0
327,-0.7499999999999996,0.0
328,-0.7399999999999993,0.0
329,-0.7299999999999995,0.0
330,-0.7199999999999993,0.0
331,-0.7099999999999995,0.0
332,-0.6999999999999993,0.0
333,-0.6899999999999995,0.0
334,-0.6799999999999997,0.0
335,-0.6699999999999995,0.0
336,-0.6599999999999997,0.0
337,-0.6499999999999995,0.0
338,-0.6399999999999997,0.0
339,-0.6299999999999994,0.0
340,-0.6199999999999997,0.0
341,-0.6099999999999994,0.0
342,-0.5999999999999996,0.0
343,-0.5899999999999994,0.0
344,-0.5799999999999996,0.0
345,-0.5699999999999994,0.0
346,-0.5599999999999996,0.0
347,-0.5499999999999994,0.0
348,-0.5399999999999996,0.0
349,-0.5299999999999994,0.0
350,-0.5199999999999996,0.0
351,-0.5099999999999993,0.0
352,-0.49999999999999956,0.0
353,-0.4899999999999993,0.0
354,-0.47999999999999954,0.0
355,-0.4699999999999993,0.0
356,-0.4599999999999995,0.0
357,-0.4499999999999993,0.0
358,-0.4399999999999995,0.0
359,-0.4299999999999997,0.0
360,-0.4199999999999995,0.0
361,-0.4099999999999997,0.0
362,-0.39999999999999947,0.0
363,-0.3899999999999997,0.0
364,-0.37999999999999945,0.0
365,-0.36999999999999966,0.0
366,-0.35999999999999943,0.0
367,-0.34999999999999964,0.0
368,-0.3399999999999994,0.0
369,-0.3299999999999996,0.0
370,-0.3199999999999994,0.0
371,-0.3099999999999996,0.0
372,-0.2999999999999994,0.0
373,-0.2899999999999996,0.0
374,-0.27999999999999936,0.0
375,-0.2699999999999996,0.0
376,-0.25999999999999934,0.0
377,-0.24999999999999956,0.0
378,-0.23999999999999932,0.0
379,-0.22999999999999954,0.0
380,-0.2199999999999993,0.0
381,-0.20999999999999952,0.0
382,-0.1999999999999993,0.0
383,-0.1899999999999995,0.0
384,-0.17999999999999972,0.0
385,-0.16999999999999948,0.0
386,-0.1599999999999997,0.0
387,-0.14999999999999947,0.0
388,-0.13999999999999968,0.0
389,-0.12999999999999945,0.0
390,-0.11999999999999966,0.0
391,-0.10999999999999943,0.0
392,-0.09999999999999964,0.0
393,-0.08999999999999941,0.0
394,-0.07999999999999963,0.0
395,-0.0699999999999994,0.0
396,-0.05999999999999961,0.0
397,-0.04999999999999938,0.0
398,-0.03999999999999959,0.0
399,-0.02999999999999936,0.0
400,-0.019999999999999574,0.0
401,-0.009999999999999787,0.0
402,8.881784197001252e-16,0.0
403,0.010000000000000675,0.0
404,0.020000000000000462,0.0
405,0.03000000000000025,0.0
406,0.040000000000000924,0.0
407,0.05000000000000071,3.333333333333333
408,0.0600000000000005,10.0
409,0.07000000000000028,16.666666666666664
410,0.08000000000000007,30.0
411,0.09000000000000075,43.333333333333336
412,0.10000000000000053,56.666666666666664
413,0.11000000000000032,70.0
414,0.1200000000000001,80.0
415,0.13000000000000078,83.33333333333333
416,0.14000000000000057,80.0
417,0.15000000000000036,76.66666666666667
418,0.16000000000000014,70.0
419,0.17000000000000082,66.66666666666666
420,0.1800000000000006,63.33333333333333
421,0.1900000000000004,60.0
422,0.20000000000000018,63.33333333333333
423,0.21000000000000085,63.33333333333333
424,0.22000000000000064,60.0
425,0.23000000000000043,60.0
426,0.2400000000000002,56.666666666666664
427,0.2500000000000009,50.0
428,0.2600000000000007,46.666666666666664
429,0.27000000000000046,40.0
430,0.28000000000000025,36.666666666666664
431,0.2900000000000009,33.33333333333333
