,_control_x,_control_y,_strychnine_x,_strychnine_y
0,-2.7,0.0,-2.7,0.0
1,-2.68,0.0,-2.68,0.0
2,-2.66,0.0,-2.66,0.0
3,-2.64,0.0,-2.64,0.0
4,-2.62,0.0,-2.62,0.0
5,-2.6,0.0,-2.6,0.0
6,-2.58,0.0,-2.58,0.0
7,-2.56,0.0,-2.56,0.0
8,-2.54,0.0,-2.54,0.0
9,-2.52,0.0,-2.52,0.0
10,-2.5,0.0,-2.5,0.0
11,-2.48,0.0,-2.48,0.0
12,-2.46,0.0,-2.46,0.0
13,-2.4400000000000004,0.0,-2.4400000000000004,0.0
14,-2.42,0.0,-2.42,0.0
15,-2.4000000000000004,0.0,-2.4000000000000004,0.0
16,-2.3800000000000003,0.0,-2.3800000000000003,0.0
17,-2.3600000000000003,0.0,-2.3600000000000003,0.0
18,-2.3400000000000003,0.0,-2.3400000000000003,0.0
19,-2.3200000000000003,0.0,-2.3200000000000003,0.0
20,-2.3000000000000003,0.0,-2.3000000000000003,0.0
21,-2.2800000000000002,0.0,-2.2800000000000002,0.0
22,-2.2600000000000002,0.0,-2.2600000000000002,0.0
23,-2.24,0.0,-2.24,0.0
24,-2.22,0.0,-2.22,0.0
25,-2.2,0.0,-2.2,0.0
26,-2.18,0.0,-2.18,0.0
27,-2.16,0.0,-2.16,0.0
28,-2.14,0.0,-2.14,0.0
29,-2.12,0.0,-2.12,0.0
30,-2.1,0.0,-2.1,0.0
31,-2.08,0.0,-2.08,0.0
32,-2.06,0.0,-2.06,0.0
33,-2.04,0.0,-2.04,0.0
34,-2.02,0.0,-2.02,0.0
35,-2.0,0.0,-2.0,0.0
36,-1.9800000000000002,0.0,-1.9800000000000002,0.0
37,-1.9600000000000002,0.0,-1.9600000000000002,0.0
38,-1.9400000000000002,0.0,-1.9400000000000002,0.0
39,-1.9200000000000002,0.0,-1.9200000000000002,0.0
40,-1.9000000000000001,0.0,-1.9000000000000001,0.0
41,-1.8800000000000001,0.0,-1.8800000000000001,0.0
42,-1.8600000000000003,0.0,-1.8600000000000003,0.0
43,-1.8400000000000003,0.0,-1.8400000000000003,0.0
44,-1.8200000000000003,0.0,-1.8200000000000003,0.0
45,-1.8000000000000003,0.0,-1.8000000000000003,0.0
46,-1.7800000000000002,0.0,-1.7800000000000002,0.0
47,-1.7600000000000002,0.0,-1.7600000000000002,0.0
48,-1.7400000000000002,0.0,-1.7400000000000002,0.0
49,-1.7200000000000002,0.0,-1.7200000000000002,0.0
50,-1.7000000000000002,0.0,-1.7000000000000002,0.0
51,-1.6800000000000002,0.0,-1.6800000000000002,0.0
52,-1.6600000000000001,0.0,-1.6600000000000001,0.0
53,-1.6400000000000001,0.0,-1.6400000000000001,0.0
54,-1.62,0.0,-1.62,0.0
55,-1.6,0.0,-1.6,0.0
56,-1.58,0.0,-1.58,0.0
57,-1.56,0.0,-1.56,0.0
58,-1.5400000000000003,0.0,-1.5400000000000003,0.0
59,-1.5200000000000002,0.0,-1.5200000000000002,0.0
60,-1.5000000000000002,0.0,-1.5000000000000002,0.0
61,-1.4800000000000002,0.0,-1.4800000000000002,0.0
62,-1.4600000000000002,0.0,-1.4600000000000002,0.0
63,-1.4400000000000002,0.0,-1.4400000000000002,0.0
64,-1.4200000000000002,0.0,-1.4200000000000002,0.0
65,-1.4000000000000001,0.0,-1.4000000000000001,0.0
66,-1.3800000000000001,0.0,-1.3800000000000001,0.0
67,-1.36,0.0,-1.36,0.0
68,-1.34,0.0,-1.34,0.0
69,-1.32,0.0,-1.32,0.0
70,-1.3,0.0,-1.3,0.0
71,-1.2800000000000002,0.0,-1.2800000000000002,0.0
72,-1.2600000000000002,0.0,-1.2600000000000002,0.0
73,-1.2400000000000002,0.0,-1.2400000000000002,0.0
74,-1.2200000000000002,0.0,-1.2200000000000002,0.0
75,-1.2000000000000002,0.0,-1.2000000000000002,0.0
76,-1.1800000000000002,0.0,-1.1800000000000002,0.0
77,-1.1600000000000001,0.0,-1.1600000000000001,0.0
78,-1.1400000000000001,0.0,-1.1400000000000001,0.0
79,-1.12,0.0,-1.12,0.0
80,-1.1,0.0,-1.1,0.0
81,-1.08,0.0,-1.08,0.0
82,-1.06,0.0,-1.06,0.0
83,-1.04,0.0,-1.04,0.0
84,-1.0200000000000002,0.0,-1.0200000000000002,0.0
85,-1.0000000000000002,0.0,-1.0000000000000002,0.0
86,-0.9800000000000002,0.0,-0.9800000000000002,0.0
87,-0.9600000000000002,0.0,-0.9600000000000002,0.0
88,-0.9400000000000002,0.0,-0.9400000000000002,0.0
89,-0.9200000000000002,0.0,-0.9200000000000002,0.0
90,-0.9000000000000001,0.0,-0.9000000000000001,0.0
91,-0.8800000000000001,0.0,-0.8800000000000001,0.0
92,-0.8600000000000001,0.0,-0.8600000000000001,0.0
93,-0.8400000000000001,0.0,-0.8400000000000001,0.0
94,-0.8200000000000001,0.0,-0.8200000000000001,0.0
95,-0.8,0.0,-0.8,0.0
96,-0.7800000000000002,0.0,-0.7800000000000002,0.0
97,-0.7600000000000002,0.0,-0.7600000000000002,0.0
98,-0.7400000000000002,0.0,-0.7400000000000002,0.0
99,-0.7200000000000002,0.0,-0.7200000000000002,0.0
100,-0.7000000000000002,0.0,-0.7000000000000002,0.0
101,-0.6800000000000002,0.0,-0.6800000000000002,0.8333333333333333
102,-0.6600000000000001,0.0,-0.6600000000000001,0.8333333333333333
