,_control_x,_control_y,_strychnine_x,_strychnine_y
0,-3.14,0.0,-3.14,0.0
1,-3.12,0.0,-3.12,0.0
2,-3.1,0.0,-3.1,0.0
3,-3.08,0.0,-3.08,0.0
4,-3.06,0.0,-3.06,0.0
5,-3.04,0.0,-3.04,0.0
6,-3.02,0.0,-3.02,0.0
7,-3.0,0.0,-3.0,0.0
8,-2.98,0.0,-2.98,0.0
9,-2.96,0.0,-2.96,0.0
10,-2.94,0.0,-2.94,0.0
11,-2.92,0.0,-2.92,0.0
12,-2.9000000000000004,0.0,-2.9000000000000004,0.0
13,-2.88,0.0,-2.88,0.0
14,-2.8600000000000003,0.0,-2.8600000000000003,0.0
15,-2.8400000000000003,0.0,-2.8400000000000003,0.0
16,-2.8200000000000003,0.0,-2.8200000000000003,0.0
17,-2.8000000000000003,0.0,-2.8000000000000003,0.0
18,-2.7800000000000002,0.0,-2.7800000000000002,0.0
19,-2.7600000000000002,0.0,-2.7600000000000002,0.0
20,-2.74,0.0,-2.74,0.0
21,-2.72,0.0,-2.72,0.0
22,-2.7,0.0,-2.7,0.0
23,-2.68,0.0,-2.68,0.0
24,-2.66,0.0,-2.66,0.0
25,-2.64,0.0,-2.64,0.0
26,-2.62,0.0,-2.62,0.0
27,-2.6,0.0,-2.6,0.0
28,-2.58,0.0,-2.58,0.0
29,-2.56,0.0,-2.56,0.0
30,-2.54,0.0,-2.54,0.0
31,-2.52,0.0,-2.52,0.0
32,-2.5,0.0,-2.5,0.0
33,-2.48,0.0,-2.48,0.0
34,-2.46,0.0,-2.46,0.0
35,-2.44,0.0,-2.44,0.0
36,-2.42,0.0,-2.42,0.0
37,-2.4000000000000004,0.0,-2.4000000000000004,0.0
38,-2.38,0.0,-2.38,0.0
39,-2.3600000000000003,0.0,-2.3600000000000003,0.0
40,-2.34,0.0,-2.34,0.0
41,-2.3200000000000003,0.0,-2.3200000000000003,0.0
42,-2.3000000000000003,0.0,-2.3000000000000003,0.0
43,-2.2800000000000002,0.0,-2.2800000000000002,0.0
44,-2.2600000000000002,0.0,-2.2600000000000002,0.0
45,-2.24,0.0,-2.24,0.0
46,-2.22,0.0,-2.22,0.0
47,-2.2,0.0,-2.2,0.0
48,-2.18,0.0,-2.18,0.0
49,-2.16,0.0,-2.16,0.0
50,-2.14,0.0,-2.14,0.0
51,-2.12,0.0,-2.12,0.0
52,-2.1,0.0,-2.1,0.0
53,-2.08,0.0,-2.08,0.0
54,-2.06,0.0,-2.06,0.0
55,-2.04,0.0,-2.04,0.0
56,-2.02,0.0,-2.02,0.0
57,-2.0,0.0,-2.0,0.0
58,-1.9800000000000002,0.0,-1.9800000000000002,0.0
59,-1.9600000000000002,0.0,-1.9600000000000002,0.0
60,-1.9400000000000002,0.0,-1.9400000000000002,0.0
61,-1.9200000000000002,0.0,-1.9200000000000002,0.0
62,-1.9000000000000001,0.0,-1.9000000000000001,0.0
63,-1.8800000000000001,0.0,-1.8800000000000001,0.0
64,-1.86,0.0,-1.86,0.0
65,-1.84,0.0,-1.84,0.0
66,-1.82,0.0,-1.82,0.0
67,-1.8,0.0,-1.8,0.0
68,-1.78,0.0,-1.78,0.0
69,-1.76,0.0,-1.76,0.0
70,-1.74,0.0,-1.74,0.0
71,-1.7200000000000002,0.0,-1.7200000000000002,0.0
