,_n_OFF_x,_n_OFF_y
0,-3.866,1.0
1,-3.8640000000000003,0.9999990137345475
2,-3.862,0.9999961119015194
3,-3.8600000000000003,0.9999913771919592
4,-3.858,0.999984889611491
5,-3.8560000000000003,0.9999767267812342
6,-3.854,0.9999669639378029
7,-3.8520000000000003,0.9999556739333066
8,-3.85,0.9999429272353498
9,-3.8480000000000003,0.9999287926440815
10,-3.846,0.9999133399410132
11,-3.8440000000000003,0.9998966309371004
12,-3.842,0.9998787247484553
13,-3.8400000000000003,0.9998596790070952
14,-3.838,0.9998395498609416
15,-3.8360000000000003,0.999818391973821
16,-3.834,0.9997962585254644
17,-3.8320000000000003,0.9997732012115073
18,-3.83,0.9997492702434898
19,-3.8280000000000003,0.9997245143488571
20,-3.826,0.9996989807709585
21,-3.8240000000000003,0.9996727152690483
22,-3.822,0.9996457621182852
23,-3.8200000000000003,0.9996181641097326
24,-3.818,0.9995899625503586
25,-3.8160000000000003,0.9995611972630358
26,-3.814,0.9995319079172238
27,-3.8120000000000003,0.9995021382842761
28,-3.81,0.9994719204426074
29,-3.8080000000000003,0.9994412838913175
30,-3.806,0.9994102575021316
31,-3.8040000000000003,0.9993788695193996
32,-3.802,0.9993471475600959
33,-3.8000000000000003,0.99931511861382
34,-3.798,0.9992828090427965
35,-3.7960000000000003,0.9992502445818743
36,-3.794,0.9992174503385274
37,-3.7920000000000003,0.9991844507928546
38,-3.79,0.9991512697975795
39,-3.7880000000000003,0.9991179305780508
40,-3.786,0.9990844557322415
41,-3.7840000000000003,0.99905086723075
42,-3.782,0.9990171864167992
43,-3.7800000000000002,0.9989834340062368
44,-3.778,0.9989496300875356
45,-3.7760000000000002,0.998915794121793
46,-3.774,0.9988819449427313
47,-3.7720000000000002,0.9988481007566976
48,-3.77,0.998814279142664
49,-3.7680000000000002,0.9987804970522273
50,-3.766,0.9987467708096089
51,-3.7640000000000002,0.9987131184749186
52,-3.762,0.9986795569197653
53,-3.7600000000000002,0.9986460942906148
54,-3.758,0.9986127383435375
55,-3.7560000000000002,0.9985794967187014
56,-3.754,0.9985463769403733
57,-3.7520000000000002,0.9985133864169174
58,-3.75,0.9984805324407965
59,-3.748,0.9984478221885712
60,-3.746,0.9984152627209001
61,-3.744,0.9983828609825403
62,-3.742,0.9983506238023463
63,-3.74,0.9983185578932714
64,-3.738,0.9982866698523666
65,-3.736,0.9982549661607809
66,-3.734,0.9982234531837617
67,-3.732,0.998192137170654
68,-3.73,0.9981610242549015
69,-3.728,0.9981301204540455
70,-3.726,0.9980994316697255
71,-3.724,0.9980689636876791
72,-3.722,0.998038722177742
