,6_Hz_x,6_Hz_y
0,-2.704,1.0
1,-2.7020000000000004,0.9999990137345475
2,-2.7,0.9999961119015194
3,-2.6980000000000004,0.9999913771919592
4,-2.696,0.999984889611491
5,-2.6940000000000004,0.9999767267812342
6,-2.692,0.9999669639378029
7,-2.6900000000000004,0.9999556739333066
8,-2.688,0.9999429272353498
9,-2.6860000000000004,0.9999287926440815
10,-2.684,0.9999133399410132
11,-2.6820000000000004,0.9998966309371004
12,-2.68,0.9998787247484553
13,-2.6780000000000004,0.9998596790070952
14,-2.676,0.9998395498609416
15,-2.6740000000000004,0.999818391973821
16,-2.672,0.9997962585254644
17,-2.6700000000000004,0.9997732012115073
18,-2.668,0.9997492702434898
19,-2.6660000000000004,0.9997245143488571
20,-2.664,0.9996989807709585
21,-2.6620000000000004,0.9996727152690483
22,-2.66,0.9996457621182852
23,-2.6580000000000004,0.9996181641097326
24,-2.656,0.9995899625503586
25,-2.6540000000000004,0.9995611972630358
26,-2.652,0.9995319079172238
27,-2.6500000000000004,0.9995021382842761
28,-2.648,0.9994719204426074
29,-2.6460000000000004,0.9994412838913175
30,-2.644,0.9994102575021316
31,-2.6420000000000003,0.9993788695193996
32,-2.64,0.9993471475600959
33,-2.6380000000000003,0.99931511861382
34,-2.636,0.9992828090427965
35,-2.6340000000000003,0.9992502445818743
36,-2.632,0.9992174503385274
37,-2.6300000000000003,0.9991844507928546
38,-2.628,0.9991512697975795
39,-2.6260000000000003,0.9991179305780508
40,-2.624,0.9990844557322415
41,-2.6220000000000003,0.99905086723075
42,-2.62,0.9990171864167992
43,-2.6180000000000003,0.9989834340062368
44,-2.616,0.9989496300875356
45,-2.6140000000000003,0.998915794121793
46,-2.612,0.9988819449427313
47,-2.6100000000000003,0.9988481007566976
48,-2.608,0.998814279142664
49,-2.6060000000000003,0.9987804970522273
50,-2.604,0.9987467708096089
51,-2.6020000000000003,0.9987131184749186
52,-2.6,0.9986795569197653
53,-2.5980000000000003,0.9986460942906148
54,-2.596,0.9986127383435375
55,-2.5940000000000003,0.9985794967187014
56,-2.592,0.9985463769403733
57,-2.5900000000000003,0.9985133864169174
58,-2.588,0.9984805324407965
59,-2.5860000000000003,0.9984478221885712
60,-2.584,0.9984152627209001
61,-2.5820000000000003,0.9983828609825403
62,-2.58,0.9983506238023463
63,-2.5780000000000003,0.9983185578932714
64,-2.576,0.9982866698523666
65,-2.5740000000000003,0.9982549661607809
66,-2.572,0.9982234531837617
67,-2.5700000000000003,0.998192137170654
68,-2.568,0.9981610242549015
69,-2.5660000000000003,0.9981301204540455
70,-2.564,0.9980994316697255
71,-2.5620000000000003,0.9980689636876791
72,-2.56,0.998038722177742
73,-2.5580000000000003,0.9980087126938479
74,-2.556,0.9979789406740289
75,-2.5540000000000003,0.9979494114404146
76,-2.552,0.9979201301992332
77,-2.5500000000000003,0.9978911020408107
78,-2.548,0.9978623319395713
79,-2.5460000000000003,0.9978338247540371
80,-2.544,0.9978055852268286
81,-2.5420000000000003,0.9977776179846641
82,-2.54,0.9977499275383601
83,-2.5380000000000003,0.99772251824703
84,-2.536,0.9976953920312032
85,-2.5340000000000003,0.9976685470750549
86,-2.532,0.997641981293147
87,-2.5300000000000002,0.9976156926682951
88,-2.528,0.9975896792515689
89,-2.5260000000000002,0.9975639391622927
90,-2.524,0.9975384705880443
91,-2.5220000000000002,0.997513271784656
92,-2.52,0.9974883410762139
93,-2.5180000000000002,0.9974636768550583
94,-2.516,0.997439277581784
95,-2.5140000000000002,0.9974151417852392
96,-2.512,0.9973912680625268
97,-2.5100000000000002,0.9973676550790034
98,-2.508,0.9973443015682799
99,-2.5060000000000002,0.9973212063322214
100,-2.504,0.9972983682409469
101,-2.5020000000000002,0.9972757862328294
102,-2.5,0.9972534593144965
103,-2.498,0.9972313865608293
104,-2.496,0.9972095671149634
105,-2.494,0.9971880001882885
106,-2.492,0.9971666850604479
107,-2.49,0.9971456210793398
108,-2.488,0.9971248076611158
109,-2.486,0.997104244290182
110,-2.484,0.9970839305191985
111,-2.482,0.9970638659690795
112,-2.48,0.9970440503289932
113,-2.478,0.9970244833563621
114,-2.476,0.9970051648768626
115,-2.474,0.9969860947844253
116,-2.472,0.996967273041235
117,-2.47,0.9969486996777305
118,-2.468,0.9969303747926046
119,-2.466,0.9969122985528043
120,-2.4640000000000004,0.9968944711935308
121,-2.462,0.9968768930182392
122,-2.46,0.9968595643986389
123,-2.458,0.9968424857746933
124,-2.4560000000000004,0.9968256568021423
125,-2.454,0.9968090695274555
126,-2.452,0.9967927188105646
127,-2.45,0.9967766008960927
128,-2.4480000000000004,0.996760712105147
129,-2.446,0.9967450488353199
130,-2.444,0.996729607560688
131,-2.442,0.9967143848318122
132,-2.4400000000000004,0.9966993772757384
133,-2.438,0.9966845815959968
134,-2.436,0.9966699945726022
135,-2.434,0.9966556130620537
136,-2.4320000000000004,0.9966414339973353
137,-2.43,0.9966274543879153
138,-2.428,0.9966136713197468
139,-2.426,0.9966000819552668
140,-2.4240000000000004,0.9965866835333977
141,-2.422,0.9965734733695459
142,-2.42,0.9965604488556025
143,-2.418,0.996547607459943
144,-2.4160000000000004,0.9965349467274275
145,-2.414,0.9965224642794007
146,-2.4120000000000004,0.9965101578136919
147,-2.41,0.9964980251046147
148,-2.4080000000000004,0.9964860640029675
149,-2.406,0.996474272436033
150,-2.4040000000000004,0.9964626484075787
151,-2.402,0.9964511899978563
152,-2.4000000000000004,0.9964398953636023
153,-2.398,0.9964287627380377
154,-2.3960000000000004,0.996417790430868
155,-2.394,0.9964069768282832
156,-2.3920000000000003,0.9963963203929578
157,-2.39,0.996385819664051
158,-2.3880000000000003,0.9963754732572064
159,-2.386,0.9963652798645524
160,-2.3840000000000003,0.9963552382547013
161,-2.382,0.9963453472727507
162,-2.3800000000000003,0.9963356058402822
163,-2.378,0.9963260129553623
164,-2.3760000000000003,0.9963165676925416
165,-2.374,0.9963072692028558
