,_dynamic_x,_dynamic_y,_fixed_x,_fixed_y
0,-3.866,0.0,-3.866,0.0
1,-3.8640000000000003,-6.375764042385156e-05,-3.8640000000000003,-6.375766452949372e-05
2,-3.862,-0.00025128081335229556,-3.862,-0.0002512811847549974
3,-3.8600000000000003,-0.0005571290352600872,-3.8600000000000003,-0.0005571312093140431
4,-3.858,-0.0009760408550393004,-3.858,-0.0009760479269316944
5,-3.8560000000000003,-0.0015029135731852827,-3.8560000000000003,-0.0015029306662419425
6,-3.854,-0.0021328032417966547,-3.854,-0.0021328378957877025
7,-3.8520000000000003,-0.00286092466457531,-3.8520000000000003,-0.0028609872240208164
8,-3.85,-0.003682651396826419,-3.85,-0.00368275539930205
9,-3.8480000000000003,-0.004593467460541807,-3.8480000000000003,-0.0045936298529845754
10,-3.846,-0.005588788980151808,-3.846,-0.005589029570334952
11,-3.8440000000000003,-0.0066645670283453085,-3.8440000000000003,-0.006664909863204156
12,-3.842,-0.0078169323988845,-3.842,-0.00781740595567486
13,-3.8400000000000003,-0.009042114078333401,-3.8400000000000003,-0.009042751177128376
14,-3.838,-0.01033643924605785,-3.838,-0.010337276962244641
15,-3.8360000000000003,-0.01169633327422552,-3.8360000000000003,-0.011697412851002238
16,-3.834,-0.013118319727805913,-3.834,-0.01311968648867839
17,-3.8320000000000003,-0.014599020364570352,-3.8320000000000003,-0.014600723625848938
18,-3.83,-0.016135155135091988,-3.83,-0.016137248118388375
19,-3.8280000000000003,-0.017723542182745793,-3.8280000000000003,-0.017726081927469817
20,-3.826,-0.019361097843708576,-3.826,-0.019364145119565034
21,-3.8240000000000003,-0.02104483664695897,-3.8240000000000003,-0.02104845586644441
22,-3.822,-0.022771871314277423,-3.822,-0.022776130445176963
23,-3.8200000000000003,-0.024539412760246238,-3.8200000000000003,-0.024544383238130386
24,-3.818,-0.026344770092249517,-3.818,-0.026350526732970954
25,-3.8160000000000003,-0.02818535061047319,-3.8160000000000003,-0.028191971522663617
26,-3.814,-0.030058570689579137,-3.814,-0.03006613953010836
27,-3.8120000000000003,-0.03196157142963189,-3.8120000000000003,-0.03197017270669837
28,-3.81,-0.03389227690455143,-3.81,-0.033901994803921455
29,-3.8080000000000003,-0.035848782869086174,-3.8080000000000003,-0.03585970472069423
30,-3.806,-0.03782922595299846,-3.806,-0.0378414420359295
31,-3.8040000000000003,-0.03983178366106464,-3.8040000000000003,-0.0398453870085363
32,-3.802,-0.04185467437307504,-3.802,-0.041869760577419826
33,-3.8000000000000003,-0.0438961573438339,-3.8000000000000003,-0.043912824361481514
34,-3.798,-0.045954532703159495,-3.798,-0.04597288065961896
35,-3.7960000000000003,-0.04802814145588404,-3.7960000000000003,-0.04804827245072597
36,-3.794,-0.05011536548185372,-3.794,-0.05013738339369257
37,-3.7920000000000003,-0.052214627535928676,-3.7920000000000003,-0.05223863782740494
38,-3.79,-0.054324391247983085,-3.79,-0.05435050077074552
39,-3.7880000000000003,-0.056443161122905004,-3.7880000000000003,-0.0564714779225929
40,-3.786,-0.05856948254059652,-3.786,-0.05860011566182188
41,-3.7840000000000003,-0.060701941755973675,-3.7840000000000003,-0.06073500104730346
42,-3.782,-0.06283916589896646,-3.782,-0.06287476181790484
43,-3.7800000000000002,-0.0649798229745189,-3.7800000000000002,-0.06501806639248944
44,-3.778,-0.06712262186258888,-3.778,-0.06716362386991681
45,-3.7760000000000002,-0.06926631231814838,-3.7760000000000002,-0.06931018402904277
46,-3.774,-0.07140968497118327,-3.774,-0.07145653732871934
47,-3.7720000000000002,-0.07355157132669342,-3.7720000000000002,-0.0736015149077947
48,-3.77,-0.07569084376469265,-3.77,-0.07574398858511319
49,-3.7680000000000002,-0.07782641554020875,-3.7680000000000002,-0.07788287085951548
50,-3.766,-0.07995724078328353,-3.766,-0.0800171149098383
51,-3.7640000000000002,-0.08208215914973704,-3.7640000000000002,-0.08214556726223765
52,-3.762,-0.08420009315535729,-3.762,-0.08426713723961039
53,-3.7600000000000002,-0.08631054290499945,-3.7600000000000002,-0.08638132116009954
54,-3.758,-0.0884130336129153,-3.758,-0.08848764388849668
55,-3.7560000000000002,-0.09050709747141644,-3.7560000000000002,-0.09058563719696383
56,-3.754,-0.09259227365087432,-3.754,-0.09267483976503342
57,-3.7520000000000002,-0.09466810829972022,-3.7520000000000002,-0.09475479717960833
58,-3.75,-0.09673415454444535,-3.75,-0.09682506193496192
59,-3.748,-0.09878997248960072,-3.748,-0.09888519343273797
60,-3.746,-0.10083512921779722,-3.746,-0.10093475798195069
61,-3.744,-0.1028691987897056,-3.744,-0.10297332879898478
62,-3.742,-0.10489176224405646,-3.742,-0.10500048600759537
63,-3.74,-0.10690240759764025,-3.74,-0.107015816638908
64,-3.738,-0.10890072984530727,-3.738,-0.10901891463141869
65,-3.736,-0.11088633095996774,-3.736,-0.1110093808309939
66,-3.734,-0.11285881989259164,-3.734,-0.11298682299087054
67,-3.732,-0.1148178125722089,-3.732,-0.11495085577165595
68,-3.73,-0.11676293190590925,-3.73,-0.11690110074132792
69,-3.728,-0.11869380777884228,-3.728,-0.1188371863752347
70,-3.726,-0.1206100770542175,-3.726,-0.12075874805609497
71,-3.724,-0.12251138357330418,-3.724,-0.12266542807399786
72,-3.722,-0.1243973781554315,-3.722,-0.12455687562640294
73,-3.72,-0.1262677185979885,-3.72,-0.12643274681814023
74,-3.718,-0.12812206967642412,-3.718,-0.1282927046614102
75,-3.716,-0.12996010314424705,-3.716,-0.1301364190757838
76,-3.714,-0.13178149773302594,-3.714,-0.13196356688820235
77,-3.712,-0.1335859391523892,-3.712,-0.13377383183297764
78,-3.71,-0.13537312009002522,-3.71,-0.135566904551792
79,-3.708,-0.13714274021168216,-3.708,-0.137342482593698
80,-3.706,-0.13889450616116805,-3.706,-0.13910027041511885
81,-3.704,-0.14062813156035076,-3.704,-0.14083997937984813
82,-3.702,-0.1423433370091581,-3.702,-0.14256132775904987
83,-3.7,-0.14403985341424394,-3.7,-0.14426404307910254
84,-3.698,-0.14571758642048763,-3.698,-0.14594801705590657
85,-3.696,-0.1473766818623133,-3.696,-0.1476133907906159
86,-3.694,-0.14901729883381523,-3.694,-0.14926032208929454
87,-3.692,-0.15063959149073325,-3.692,-0.15088896382658906
88,-3.69,-0.1522437090504528,-3.69,-0.1524994639457284
89,-3.688,-0.1538297957920051,-3.688,-0.154091965458524
90,-3.686,-0.1553979910560668,-3.686,-0.15566660644536973
91,-3.684,-0.15694842924496033,-3.684,-0.15722352005524184
92,-3.682,-0.15848123982265372,-3.682,-0.15876283450569917
93,-3.68,-0.15999654731476062,-3.68,-0.16028467308288283
94,-3.678,-0.1614944713085403,-3.678,-0.16178915414151657
95,-3.676,-0.16297512645289766,-3.676,-0.1632763911049064
96,-3.674,-0.1644386224583833,-3.674,-0.1647464924649409
97,-3.672,-0.16588506409719336,-3.672,-0.1661995617820911
98,-3.67,-0.16731455120316968,-3.67,-0.16763569768541042
99,-3.668,-0.1687271786717997,-3.668,-0.16905499387253475
100,-3.666,-0.1701230364602165,-3.666,-0.1704575391096824
101,-3.664,-0.17150220958719883,-3.664,-0.1718434172316542
102,-3.662,-0.17286477813317097,-3.662,-0.17321270714183334
103,-3.66,-0.174210817240203,-3.66,-0.17456548281218554
104,-3.658,-0.17554039711201042,-3.658,-0.17590181328325888
105,-3.656,-0.17685358301395454,-3.656,-0.177221762664184
106,-3.654,-0.17815043527304225,-3.654,-0.17852539013267385
107,-3.652,-0.17943100927792605,-3.652,-0.179812749935024
108,-3.65,-0.1806953554789041,-3.65,-0.18108389138611225
109,-3.648,-0.18194351938792017,-3.648,-0.18233885886939907
110,-3.646,-0.18317554157856367,-3.646,-0.1835776918369272
111,-3.644,-0.18439145768606963,-3.644,-0.18480042480932196
112,-3.642,-0.18559129840731875,-3.642,-0.18600708737579102
113,-3.64,-0.18677508950083732,-3.64,-0.18719770419412457
114,-3.638,-0.18794285178679732,-3.638,-0.1883722949906952
115,-3.636,-0.18909460114701632,-3.636,-0.18953087456045792
116,-3.634,-0.19023034852495752,-3.634,-0.19067345276695027
117,-3.632,-0.19135009992572974,-3.632,-0.19180003454229222
118,-3.63,-0.19245385641608753,-3.63,-0.19291061988718614
119,-3.628,-0.1935416141244309,-3.628,-0.19400520387091685
120,-3.6260000000000003,-0.19461336424080566,-3.6260000000000003,-0.19508377663135165
121,-3.624,-0.1956690930169032,-3.624,-0.19614632337494034
122,-3.622,-0.1967087817660605,-3.622,-0.19719282437671504
123,-3.62,-0.19773240686326016,-3.62,-0.1982232549802904
124,-3.6180000000000003,-0.19873999856365174,-3.6180000000000003,-0.19923762693078514
125,-3.616,-0.19973210789560975,-3.616,-0.20023646696689112
126,-3.614,-0.20070908450025668,-3.614,-0.20122014542531574
127,-3.612,-0.20167118190041858,-3.612,-0.20218891551331164
128,-3.6100000000000003,-0.20261864842420008,-3.6100000000000003,-0.20314302525158429
129,-3.608,-0.2035517272049845,-3.608,-0.2040827174742919
130,-3.606,-0.20447065618143379,-3.606,-0.20500822982904565
131,-3.604,-0.20537566809748853,-3.604,-0.20591979477690944
132,-3.6020000000000003,-0.20626699050236796,-3.6020000000000003,-0.2068176395924
133,-3.6,-0.20714484575056993,-3.6,-0.2077019863634869
134,-3.598,-0.208009451001871,-3.598,-0.20857305199159257
135,-3.596,-0.20886101822132627,-3.596,-0.20943104819159217
136,-3.5940000000000003,-0.2096997541792696,-3.5940000000000003,-0.2102761814918138
137,-3.592,-0.21052586045131333,-3.592,-0.2111086532340382
138,-3.59,-0.21133953341834863,-3.59,-0.2119286595734992
139,-3.588,-0.2121409642665452,-3.588,-0.2127363914788832
140,-3.5860000000000003,-0.21293033898735134,-3.5860000000000003,-0.21353203473232954
141,-3.584,-0.21370783837749413,-3.584,-0.21431576992943038
142,-3.582,-0.2144736380389792,-3.582,-0.2150877724792307
143,-3.58,-0.2152279083790908,-3.58,-0.21584821260422823
144,-3.5780000000000003,-0.21597081461039191,-3.5780000000000003,-0.21659725534037366
145,-3.576,-0.21670251675072405,-3.576,-0.21733506053707036
146,-3.5740000000000003,-0.21742316962320749,-3.5740000000000003,-0.21806178285717462
147,-3.572,-0.21813292285624103,-3.572,-0.21877757177699553
148,-3.5700000000000003,-0.21883192088350217,-3.5700000000000003,-0.21948257158629497
149,-3.568,-0.2195203029439471,-3.568,-0.22017692138828765
150,-3.5660000000000003,-0.2201982030818105,-3.5660000000000003,-0.22086075509964112
151,-3.564,-0.2208657501466059,-3.564,-0.22153420145047578
152,-3.5620000000000003,-0.22152306779312528,-3.5620000000000003,-0.22219738398436478
153,-3.56,-0.2221702744814394,-3.56,-0.22285042105833414
154,-3.5580000000000003,-0.22280748347689755,-3.5580000000000003,-0.2234934258428627
155,-3.556,-0.22343480285012773,-3.556,-0.2241265063218821
156,-3.5540000000000003,-0.22405233547703662,-3.5540000000000003,-0.22474976529277685
157,-3.552,-0.22466017903880942,-3.552,-0.2253633003663842
158,-3.5500000000000003,-0.2252584260219101,-3.5500000000000003,-0.22596720396699432
159,-3.548,-0.22584716371808114,-3.548,-0.2265615633323501
160,-3.5460000000000003,-0.22642647422434378,-3.5460000000000003,-0.22714646051364737
161,-3.544,-0.22699643444299786,-3.544,-0.22772197237553468
162,-3.5420000000000003,-0.22755711608162185,-3.5420000000000003,-0.22828817059611342
163,-3.54,-0.22810858565307285,-3.54,-0.22884512166693788
164,-3.5380000000000003,-0.22865090447548664,-3.5380000000000003,-0.22939288689301504
165,-3.536,-0.2291841286722776,-3.536,-0.22993152239280484
166,-3.5340000000000003,-0.22970830917213883,-3.5340000000000003,-0.23046107909821995
167,-3.532,-0.23022349170904194,-3.532,-0.23098160275462587
168,-3.5300000000000002,-0.2307297168222373,-3.5300000000000002,-0.23149313392084098
169,-3.528,-0.23122701985625388,-3.528,-0.23199570796913643
170,-3.5260000000000002,-0.23171543096089925,-3.5260000000000002,-0.23248935508523622
171,-3.524,-0.2321949750912597,-3.524,-0.23297410026831714
172,-3.5220000000000002,-0.2326656720077001,-3.5220000000000002,-0.23344996333100881
173,-3.52,-0.23312753627586402,-3.52,-0.23391695889939368
174,-3.5180000000000002,-0.23358057726667358,-3.5180000000000002,-0.23437509641300708
175,-3.516,-0.2340248177246117,-3.516,-0.23482438643331965
176,-3.5140000000000002,-0.23446086526752544,-3.5140000000000002,-0.23526537845741954
177,-3.512,-0.2348891220688895,-3.512,-0.23569853120795645
178,-3.5100000000000002,-0.2353097341832976,-3.5100000000000002,-0.2361239912256827
179,-3.508,-0.23572284528735338,-3.508,-0.2365419026675235
180,-3.5060000000000002,-0.23612859667967048,-3.5060000000000002,-0.23695240730657705
181,-3.504,-0.2365271272808725,-3.504,-0.23735564453211436
182,-3.5020000000000002,-0.236918573633593,-3.5020000000000002,-0.23775175134957943
183,-3.5,-0.2373030699024755,-3.5,-0.23814086238058915
184,-3.498,-0.23768074787417345,-3.498,-0.23852310986293335
185,-3.496,-0.23805173695735032,-3.496,-0.2388986236505747
186,-3.494,-0.23841616418267952,-3.494,-0.2392675312136489
187,-3.492,-0.2387741542028444,-3.492,-0.23962995763846448
188,-3.49,-0.23912582929253826,-3.49,-0.2399860256275029
189,-3.488,-0.23947130934846442,-3.488,-0.24033585549941855
190,-3.486,-0.23981071188933614,-3.486,-0.24067956518903877
191,-3.484,-0.24014415205587658,-3.484,-0.24101727024736372
192,-3.482,-0.24047174261081894,-3.482,-0.24134908384156656
193,-3.48,-0.24079359393890634,-3.48,-0.24167511675499334
194,-3.478,-0.2411098140468919,-3.478,-0.24199547738716304
195,-3.476,-0.24142050856353867,-3.476,-0.2423102717537675
196,-3.474,-0.24172578073961962,-3.474,-0.24261960348667155
197,-3.472,-0.24202573144791775,-3.472,-0.24292357383391286
198,-3.47,-0.24232045918322603,-3.47,-0.2432222816597021
199,-3.468,-0.24261006006234734,-3.468,-0.2435158234444228
