,full model_x,full model_y,"no dynamical
synapse_x","no dynamical
synapse_y"
432,-3.0020000000000002,0.0,-3.0020000000000002,0.0
433,-3.0,0.0,-3.0,0.0
434,-2.998,0.0,-2.998,0.0
435,-2.996,0.0,-2.996,0.0
436,-2.994,0.0,-2.994,0.0
437,-2.992,0.0,-2.992,0.0
438,-2.99,0.0,-2.99,0.0
439,-2.988,0.0,-2.988,0.0
440,-2.986,0.0,-2.986,0.0
441,-2.984,0.0,-2.984,0.0
442,-2.982,0.0,-2.982,0.0
443,-2.98,0.0,-2.98,0.0
444,-2.978,0.0,-2.978,0.0
445,-2.976,0.0,-2.976,0.0
446,-2.974,0.0,-2.974,0.0
447,-2.972,0.0,-2.972,0.0
448,-2.97,0.0,-2.97,0.0
449,-2.968,0.0,-2.968,0.0
450,-2.966,0.0,-2.966,0.0
451,-2.964,0.0,-2.964,0.0
452,-2.962,0.0,-2.962,0.0
453,-2.96,0.0,-2.96,0.0
454,-2.958,0.0,-2.958,0.0
455,-2.956,0.0,-2.956,0.0
456,-2.954,0.0,-2.954,0.0
457,-2.952,0.0,-2.952,0.0
458,-2.95,0.0,-2.95,0.0
459,-2.948,0.0,-2.948,0.0
460,-2.946,0.0,-2.946,0.0
461,-2.944,0.0,-2.944,0.0
462,-2.942,0.0,-2.942,0.0
463,-2.94,0.0,-2.94,0.0
464,-2.938,0.0,-2.938,0.0
465,-2.936,0.0,-2.936,0.0
466,-2.934,0.0,-2.934,0.0
467,-2.932,0.0,-2.932,0.0
468,-2.93,0.0,-2.93,0.0
469,-2.928,0.0,-2.928,0.0
470,-2.926,0.0,-2.926,0.0
471,-2.924,0.0,-2.924,0.0
472,-2.922,0.0,-2.922,0.0
473,-2.92,0.0,-2.92,0.0
474,-2.918,0.0,-2.918,0.0
475,-2.916,0.0,-2.916,0.0
476,-2.914,0.0,-2.914,0.0
477,-2.912,0.0,-2.912,0.0
478,-2.91,0.0,-2.91,0.0
479,-2.908,0.0,-2.908,0.0
480,-2.906,0.0,-2.906,0.0
481,-2.904,0.0,-2.904,0.0
482,-2.902,0.0,-2.902,0.0
483,-2.9000000000000004,0.0,-2.9000000000000004,0.0
484,-2.898,0.0,-2.898,0.0
485,-2.896,0.0,-2.896,0.0
486,-2.894,0.0,-2.894,0.0
487,-2.8920000000000003,0.0,-2.8920000000000003,0.0
488,-2.89,0.0,-2.89,0.0
489,-2.888,0.0,-2.888,0.0
490,-2.886,0.0,-2.886,0.0
491,-2.8840000000000003,0.0,-2.8840000000000003,0.0
492,-2.882,0.0,-2.882,0.0
493,-2.88,0.0,-2.88,0.0
494,-2.878,0.0,-2.878,0.0
495,-2.8760000000000003,0.0,-2.8760000000000003,0.0
496,-2.874,0.0,-2.874,0.0
497,-2.872,0.0,-2.872,0.0
498,-2.87,0.0,-2.87,0.0
499,-2.8680000000000003,0.0,-2.8680000000000003,0.0
500,-2.866,0.0,-2.866,0.0
501,-2.864,0.0,-2.864,0.0
502,-2.862,0.0,-2.862,0.0
503,-2.8600000000000003,0.0,-2.8600000000000003,0.0
504,-2.858,0.0,-2.858,0.0
505,-2.856,0.0,-2.856,0.0
506,-2.854,0.0,-2.854,0.0
507,-2.8520000000000003,0.0,-2.8520000000000003,0.0
508,-2.85,0.0,-2.85,0.0
509,-2.848,0.0,-2.848,0.0
510,-2.846,0.0,-2.846,0.0
511,-2.8440000000000003,0.0,-2.8440000000000003,0.0
512,-2.842,0.0,-2.842,0.0
513,-2.84,0.0,-2.84,0.0
514,-2.838,0.0,-2.838,0.0
515,-2.8360000000000003,0.0,-2.8360000000000003,0.0
516,-2.834,0.0,-2.834,0.0
517,-2.832,0.0,-2.832,0.0
518,-2.83,0.0,-2.83,0.0
519,-2.8280000000000003,0.0,-2.8280000000000003,0.0
520,-2.826,0.0,-2.826,0.0
521,-2.824,0.0,-2.824,0.0
522,-2.822,0.0,-2.822,0.0
523,-2.8200000000000003,0.0,-2.8200000000000003,0.0
524,-2.818,0.0,-2.818,0.0
525,-2.816,0.0,-2.816,0.0
526,-2.814,0.0,-2.814,0.0
527,-2.8120000000000003,0.0,-2.8120000000000003,0.0
528,-2.81,0.0,-2.81,0.0
529,-2.808,0.0,-2.808,0.0
530,-2.806,0.0,-2.806,0.0
531,-2.8040000000000003,0.0,-2.8040000000000003,0.0
532,-2.802,0.0,-2.802,0.0
533,-2.8,0.0,-2.8,0.0
534,-2.798,0.0,-2.798,0.0
535,-2.7960000000000003,0.0,-2.7960000000000003,0.0
536,-2.794,0.0,-2.794,0.0
537,-2.792,0.0,-2.792,0.0
538,-2.79,0.0,-2.79,0.0
539,-2.7880000000000003,0.0,-2.7880000000000003,0.0
540,-2.786,0.0,-2.786,0.0
541,-2.784,0.0,-2.784,0.0
542,-2.782,0.0,-2.782,0.0
543,-2.7800000000000002,0.0,-2.7800000000000002,0.0
544,-2.778,0.0,-2.778,0.0
545,-2.776,0.0,-2.776,0.0
546,-2.774,0.0,-2.774,0.0
547,-2.7720000000000002,0.0,-2.7720000000000002,0.0
548,-2.77,0.0,-2.77,0.0
549,-2.768,0.0,-2.768,0.0
550,-2.766,0.0,-2.766,0.0
551,-2.7640000000000002,0.0,-2.7640000000000002,0.0
552,-2.762,0.0,-2.762,0.0
553,-2.76,0.0,-2.76,0.0
554,-2.758,0.0,-2.758,0.0
555,-2.7560000000000002,0.0,-2.7560000000000002,0.0
556,-2.754,0.0,-2.754,0.0
557,-2.752,0.0,-2.752,0.0
558,-2.75,0.0,-2.75,0.0
559,-2.748,0.0,-2.748,0.0
560,-2.746,0.0,-2.746,0.0
561,-2.7439999999999998,0.0,-2.7439999999999998,0.0
562,-2.742,0.0,-2.742,0.0
563,-2.74,0.0,-2.74,0.0
564,-2.738,0.0,-2.738,0.0
565,-2.7359999999999998,0.0,-2.7359999999999998,0.0
566,-2.734,0.0,-2.734,0.0
567,-2.732,0.0,-2.732,0.0
568,-2.73,0.0,-2.73,0.0
569,-2.7279999999999998,0.0,-2.7279999999999998,0.0
570,-2.726,0.0,-2.726,0.0
571,-2.724,0.0,-2.724,0.0
572,-2.722,0.0,-2.722,0.0
573,-2.7199999999999998,0.0,-2.7199999999999998,0.0
574,-2.718,0.0,-2.718,0.0
575,-2.716,0.0,-2.716,0.0
576,-2.714,0.0,-2.714,0.0
577,-2.712,0.0,-2.712,0.0
578,-2.71,0.0,-2.71,0.0
579,-2.708,0.0,-2.708,0.0
580,-2.7060000000000004,0.0,-2.7060000000000004,0.0
581,-2.704,0.0,-2.704,0.0
582,-2.702,0.0,-2.702,0.0
583,-2.7,0.0,-2.7,0.0
584,-2.6980000000000004,0.0,-2.6980000000000004,0.0
585,-2.696,0.0,-2.696,0.0
586,-2.694,0.0,-2.694,0.0
587,-2.692,0.0,-2.692,0.0
588,-2.6900000000000004,0.0,-2.6900000000000004,0.0
589,-2.688,0.0,-2.688,0.0
590,-2.686,0.0,-2.686,0.0
591,-2.684,0.0,-2.684,0.0
592,-2.6820000000000004,0.0,-2.6820000000000004,0.0
593,-2.68,0.0,-2.68,0.0
594,-2.678,0.0,-2.678,0.0
595,-2.676,0.0,-2.676,0.0
596,-2.6740000000000004,0.0,-2.6740000000000004,0.0
597,-2.672,0.0,-2.672,0.0
598,-2.67,0.0,-2.67,0.0
599,-2.668,0.0,-2.668,0.0
600,-2.6660000000000004,0.0,-2.6660000000000004,0.0
601,-2.664,0.0,-2.664,0.0
602,-2.662,0.0,-2.662,0.0
603,-2.66,0.0,-2.66,0.0
604,-2.6580000000000004,0.0,-2.6580000000000004,0.0
605,-2.656,0.0,-2.656,0.0
606,-2.654,0.0,-2.654,0.0
