,length_x,length_y,intensity_x,intensity_y,_nolegend__x,_nolegend__y
0,170,143.50000000000026,170,150.50000000000014,170,165.23897893342698
1,120,147.00000000000017,120,147.0000000000001,120,160.33416664062673
2,100,144.99999999999991,100,148.0000000000001,100,160.78866685780824
3,80,149.50000000000014,80,148.50000000000014,80,162.27089321721738
4,60,137.99999999999974,60,148.50000000000014,60,162.27089321721738
