,$E^{ON}$_x,$E^{ON}$_y,$I_{}^{ON}$_x,$I_{}^{ON}$_y,$I_{gly}^{OFF}$_x,$I_{gly}^{OFF}$_y
0,-3.866,0.0,-3.866,0.014779855826979937,-3.866,-0.044753397543647315
1,-3.8640000000000003,-0.0004498787200653742,-3.8640000000000003,0.014478688787503427,-3.8640000000000003,-0.04360339262649388
2,-3.862,-0.0008886505748082623,-3.862,0.014182499515959531,-3.862,-0.04248012943887716
3,-3.8600000000000003,-0.0013165892314016719,-3.8600000000000003,0.013891205809954552,-3.8600000000000003,-0.041382987232276354
4,-3.858,-0.001733961580734549,-3.858,0.013604726825570512,-3.858,-0.040311359724984064
5,-3.8560000000000003,-0.002141028379934449,-3.8560000000000003,0.013322982995588229,-3.8560000000000003,-0.039264653822025083
6,-3.854,-0.0025380442523675346,-3.854,0.013045896029487303,-3.854,-0.03824228961515635
7,-3.8520000000000003,-0.0029252576876385786,-3.8520000000000003,0.012773388913446123,-3.8520000000000003,-0.03724370038286699
8,-3.85,-0.0033029110415909615,-3.85,0.012505385910341858,-3.85,-0.036268332590378316
9,-3.8480000000000003,-0.003671242067686404,-3.8480000000000003,0.012241812361675035,-3.8480000000000003,-0.0353156428296572
10,-3.846,-0.004030489581418458,-3.846,0.011982593952987002,-3.846,-0.0343850864942476
11,-3.8440000000000003,-0.004380874375120483,-3.8440000000000003,0.011727659170851007,-3.8440000000000003,-0.033476155884058376
12,-3.842,-0.004722610499964208,-3.842,0.011476937836950942,-3.842,-0.032588357647125574
13,-3.8400000000000003,-0.005055907852052458,-3.8400000000000003,0.011230360773349508,-3.8400000000000003,-0.03172120761173134
14,-3.838,-0.005380972172419155,-3.838,0.010987859802488207,-3.838,-0.03087423078640389
15,-3.8360000000000003,-0.00569800504702932,-3.8360000000000003,0.01074936774718734,-3.8360000000000003,-0.030046961359917496
16,-3.834,-0.006007203906779071,-3.834,0.010514818430646021,-3.834,-0.029238942701292507
17,-3.8320000000000003,-0.006308762027495629,-3.8320000000000003,0.010284146676442158,-3.8320000000000003,-0.028449727359795344
18,-3.83,-0.006602868529937308,-3.83,0.01005728830853247,-3.83,-0.027678877064938497
19,-3.8280000000000003,-0.006889708379793521,-3.8280000000000003,0.009834180151252472,-3.8280000000000003,-0.026925962726480526
20,-3.826,-0.0071694623876847816,-3.826,0.00961476002931649,-3.826,-0.02619056443442606
21,-3.8240000000000003,-0.0074423072091627,-3.8240000000000003,0.009398966767817646,-3.8240000000000003,-0.025472271459025794
22,-3.822,-0.007708415344709981,-3.822,0.009186740192227873,-3.822,-0.024770682250776506
23,-3.8200000000000003,-0.007967955139740435,-3.8200000000000003,0.008978021128397901,-3.8200000000000003,-0.024085404440421024
24,-3.818,-0.008221090784598966,-3.818,0.008772751402557266,-3.818,-0.02341605483894827
25,-3.8160000000000003,-0.008467982314561575,-3.8160000000000003,0.00857087384131431,-3.8160000000000003,-0.02276225943759321
26,-3.814,-0.008708788626603408,-3.814,0.008372331796735662,-3.814,-0.022123647156098596
27,-3.8120000000000003,-0.00894367738562951,-3.8120000000000003,0.008177067476165865,-3.8120000000000003,-0.021499829019139015
28,-3.81,-0.009172789403654116,-3.81,0.007985027471014917,-3.81,-0.020890471769945025
29,-3.8080000000000003,-0.009396258928822409,-3.8080000000000003,0.007796159722828227,-3.8080000000000003,-0.020295256256026364
30,-3.806,-0.009614218038209985,-3.806,0.007610412845639005,-3.806,-0.019713868363088295
31,-3.8040000000000003,-0.009826796637822858,-3.8040000000000003,0.007427736125968266,-3.8040000000000003,-0.01914599901503158
32,-3.802,-0.010034122462597453,-3.802,0.007248079522824834,-3.802,-0.01859134417395251
33,-3.8000000000000003,-0.010236321076400613,-3.8000000000000003,0.007071393667705336,-3.8000000000000003,-0.01804960484014289
34,-3.798,-0.010433515872029593,-3.798,0.006897629864594208,-3.798,-0.017520487052090025
35,-3.7960000000000003,-0.010625828071212068,-3.7960000000000003,0.006726740089963688,-3.7960000000000003,-0.01700370188647675
36,-3.794,-0.010813376724606123,-3.794,0.006558676992773819,-3.794,-0.016498965458181407
37,-3.7920000000000003,-0.010996278711800261,-3.7920000000000003,0.006393393894472459,-3.7920000000000003,-0.016005998920277865
38,-3.79,-0.0111746487413134,-3.79,0.0062308447889952556,-3.79,-0.015524528464035483
39,-3.7880000000000003,-0.011348599350594873,-3.7880000000000003,0.0060709843427656784,-3.7880000000000003,-0.015054285318919156
40,-3.786,-0.011518240906024425,-3.786,0.005913767894694992,-3.786,-0.014595005752589287
41,-3.7840000000000003,-0.01168368160291222,-3.7840000000000003,0.00575915145618227,-3.7840000000000003,-0.014146431070901792
42,-3.782,-0.011845027465498835,-3.782,0.005607091711114395,-3.782,-0.01370830761790811
43,-3.7800000000000002,-0.012002382346955262,-3.7800000000000002,0.005457546015866049,-3.7800000000000002,-0.013280386775855184
44,-3.778,-0.01215584792938291,-3.778,0.005310472399299725,-3.778,-0.01286242496518547
45,-3.7760000000000002,-0.012305523723813603,-3.7760000000000002,0.00516582956276572,-3.7760000000000002,-0.012454183644536952
46,-3.774,-0.012451507070209577,-3.774,0.005023576880102135,-3.774,-0.012055429310743118
47,-3.7720000000000002,-0.012593893137463483,-3.7720000000000002,0.0048836743976348775,-3.7720000000000002,-0.011665933498832971
48,-3.77,-0.012732774923398393,-3.77,0.004746082834177661,-3.77,-0.011285472782031049
49,-3.7680000000000002,-0.012868243254767788,-3.7680000000000002,0.004610763581032009,-3.7680000000000002,-0.01091382877175736
50,-3.766,-0.013000386787255562,-3.766,0.004477678701987243,-3.766,-0.010550788117627469
51,-3.7640000000000002,-0.013129298673361895,-3.7640000000000002,0.004346789315298227,-3.7640000000000002,-0.01019612736629294
52,-3.762,-0.013255070539029511,-3.762,0.004218056277321363,-3.762,-0.009849624789355214
53,-3.7600000000000002,-0.013377770922899762,-3.7600000000000002,0.0040914455179890934,-3.7600000000000002,-0.009511109598338598
54,-3.758,-0.013497466788956688,-3.758,0.003966923520358939,-3.758,-0.00918041476373517
55,-3.7560000000000002,-0.013614224262825388,-3.7560000000000002,0.003844457155277703,-3.7560000000000002,-0.008857375374815846
56,-3.754,-0.013728108631772021,-3.754,0.0037240136813814755,-3.754,-0.008541828639630378
57,-3.7520000000000002,-0.013839184344703805,-3.7520000000000002,0.003605560745095625,-3.7520000000000002,-0.00823361388500736
58,-3.75,-0.013947515012169016,-3.75,0.003489066380634811,-3.75,-0.007932572556554197
59,-3.748,-0.014053163406356997,-3.748,0.0033744990100029702,-3.748,-0.00763854821865715
60,-3.746,-0.01415619146109814,-3.746,0.003261827442993328,-3.746,-0.0073513865544813095
61,-3.744,-0.014256660271863907,-3.744,0.0031510208771883905,-3.744,-0.0070709353659705945
62,-3.742,-0.014354630095766813,-3.742,0.0030420488979599498,-3.742,-0.00679704457384777
63,-3.74,-0.014450160351560434,-3.74,0.0029348814784690806,-3.74,-0.006529566217614413
64,-3.738,-0.014543309619639408,-3.738,0.002829488979666145,-3.738,-0.006268354455550955
65,-3.736,-0.014634135642039428,-3.736,0.0027258421502907824,-3.736,-0.006013265564716666
66,-3.734,-0.014722695322437251,-3.734,0.00262391212687192,-3.734,-0.00576415794094963
67,-3.732,-0.014809044726150696,-3.732,0.002523670433727771,-3.732,-0.005520892098866775
68,-3.73,-0.014893239080138633,-3.73,0.002425088982965829,-3.73,-0.005283330671863873
69,-3.728,-0.014975332773000997,-3.728,0.002328140074482874,-3.728,-0.005051338412115511
70,-3.726,-0.015055379354978787,-3.726,0.002232796395964966,-3.726,-0.004824782190575125
71,-3.724,-0.015133431537954052,-3.724,0.0021390310228874554,-3.724,-0.00460353099697499
72,-3.722,-0.01520954119544991,-3.722,0.002046817418514967,-3.722,-0.0043874559398261945
73,-3.72,-0.015283759362630532,-3.72,0.0019561294339014226,-3.72,-0.004176430246418679
74,-3.718,-0.015356136236301153,-3.718,0.0018669413078900125,-3.718,-0.003970329262821211
75,-3.716,-0.015426721174908065,-3.716,0.0017792276671132253,-3.716,-0.0037690304538813973
76,-3.714,-0.01549556269853862,-3.714,0.0016929635259928244,-3.714,-0.0035724134032256716
77,-3.712,-0.015562708488921233,-3.712,0.0016081242867398583,-3.712,-0.0033803598132593066
78,-3.71,-0.015628205389425373,-3.71,0.0015246857393546621,-3.71,-0.003192753505166415
79,-3.708,-0.015692099405061572,-3.708,0.0014426240616268564,-3.708,-0.0030094804189099295
80,-3.706,-0.015754435702481424,-3.706,0.0013619158191353377,-3.706,-0.002830428613231628
81,-3.704,-0.015815258609977578,-3.704,0.0012825379652482965,-3.704,-0.0026554882656521298
82,-3.702,-0.01587461161748374,-3.702,0.0012044678411231996,-3.702,-0.0024845516724708652
83,-3.7,-0.015932537788916477,-3.7,0.0011276829014478136,-3.7,-0.002317511970302749
84,-3.698,-0.01598908051048591,-3.698,0.0010521580762060598,-3.698,-0.0021542564779381823
85,-3.696,-0.01604426912416748,-3.696,0.0009778728737407597,-3.696,-0.0019947062759263223
86,-3.694,-0.016098129656751854,-3.694,0.0009048084810710615,-3.694,-0.0018387915344093564
87,-3.692,-0.01615068794612068,-3.692,0.000832946271458565,-3.692,-0.0016864430101745168
88,-3.69,-0.01620196964124655,-3.69,0.0007622678044073329,-3.69,-0.0015375920466540946
