,_V_OFF_x,_V_OFF_y
0,-3.866,0.0
1,-3.8640000000000003,0.0011500049171534322
2,-3.862,0.00227326810477015
3,-3.8600000000000003,0.003370410311370959
4,-3.858,0.004442037818663248
5,-3.8560000000000003,0.005488743721622235
6,-3.854,0.006511107928490967
7,-3.8520000000000003,0.007509697160780319
8,-3.85,0.008485064953268997
9,-3.8480000000000003,0.009437754713990118
10,-3.846,0.01036831104939971
11,-3.8440000000000003,0.011277241659588941
12,-3.842,0.012165039896521741
13,-3.8400000000000003,0.013032189931915975
14,-3.838,0.013879166757243426
15,-3.8360000000000003,0.01470643618372982
16,-3.834,0.015514454842354808
17,-3.8320000000000003,0.01630367018385197
18,-3.83,0.01707452047870882
19,-3.8280000000000003,0.01782743481716679
20,-3.826,0.018562833109221254
21,-3.8240000000000003,0.01928112608462152
22,-3.822,0.01998271529287081
23,-3.8200000000000003,0.02066799310322629
24,-3.818,0.021337342704699044
25,-3.8160000000000003,0.021991138106054103
26,-3.814,0.02262975038754872
27,-3.8120000000000003,0.0232535685245083
28,-3.81,0.02386292577370229
29,-3.8080000000000003,0.02445814128762095
30,-3.806,0.02503952918055902
31,-3.8040000000000003,0.025607398528615734
32,-3.802,0.026162053369694804
33,-3.8000000000000003,0.026703792703504425
34,-3.798,0.02723291049155729
35,-3.7960000000000003,0.027749695657170566
36,-3.794,0.028254432085465908
37,-3.7920000000000003,0.02874739862336945
38,-3.79,0.029228869079611832
39,-3.7880000000000003,0.02969911222472816
40,-3.786,0.030158391791058028
41,-3.7840000000000003,0.030606966472745523
42,-3.782,0.031045089925739205
43,-3.7800000000000002,0.03147301076779213
44,-3.778,0.031890972578461844
45,-3.7760000000000002,0.03229921389911036
46,-3.774,0.0326979682329042
47,-3.7720000000000002,0.033087464044814344
48,-3.77,0.033467924761616266
49,-3.7680000000000002,0.033839568771889955
50,-3.766,0.034202609426019846
51,-3.7640000000000002,0.034557270177354375
52,-3.762,0.0349037727542921
53,-3.7600000000000002,0.03524228794530872
54,-3.758,0.035572982779912145
55,-3.7560000000000002,0.03589602216883147
56,-3.754,0.03621156890401694
57,-3.7520000000000002,0.036519783658639955
58,-3.75,0.03682082498709312
59,-3.748,0.037114849324990165
60,-3.746,0.037402010989166005
61,-3.744,0.03768246217767672
62,-3.742,0.037956352969799545
63,-3.74,0.0382238313260329
64,-3.738,0.03848504308809636
65,-3.736,0.03874013197893065
66,-3.734,0.038989239602697685
67,-3.732,0.03923250544478054
68,-3.73,0.03947006687178344
69,-3.728,0.039702059131531804
70,-3.726,0.03992861535307219
