,_RG_fixed_x,_RG_fixed_y
261,-3.3440000000000003,0.0
262,-3.342,0.0
263,-3.34,0.0
264,-3.338,0.0
265,-3.3360000000000003,0.0
266,-3.334,0.0
267,-3.332,0.0
268,-3.33,0.0
269,-3.3280000000000003,0.0
270,-3.326,0.0
271,-3.324,0.0
272,-3.322,0.0
273,-3.3200000000000003,0.0
274,-3.318,0.0
275,-3.316,0.0
276,-3.314,0.0
277,-3.3120000000000003,0.0
278,-3.31,0.0
279,-3.308,0.0
280,-3.306,0.0
281,-3.3040000000000003,0.0
282,-3.302,0.0
283,-3.3,0.0
284,-3.298,0.0
285,-3.2960000000000003,0.0
286,-3.294,0.0
287,-3.292,0.0
288,-3.29,0.0
289,-3.2880000000000003,0.0
290,-3.286,0.0
291,-3.2840000000000003,0.0
292,-3.282,0.0
293,-3.2800000000000002,0.0
294,-3.278,0.0
295,-3.2760000000000002,0.0
296,-3.274,0.0
297,-3.2720000000000002,0.0
298,-3.27,0.0
299,-3.2680000000000002,0.0
300,-3.266,0.0
301,-3.2640000000000002,0.0
302,-3.262,0.0
303,-3.2600000000000002,0.0
304,-3.258,0.0
305,-3.2560000000000002,0.0
306,-3.254,0.0
307,-3.2520000000000002,0.0
308,-3.25,0.0
309,-3.248,0.0
310,-3.246,0.0
311,-3.244,0.0
312,-3.242,0.0
313,-3.24,0.0
314,-3.238,0.0
315,-3.236,0.0
316,-3.234,0.0
317,-3.232,0.0
318,-3.23,0.0
319,-3.228,0.0
320,-3.226,0.0
321,-3.224,0.0
322,-3.222,0.0
323,-3.22,0.0
324,-3.218,0.0
325,-3.216,0.0
326,-3.214,0.0
327,-3.212,0.0
328,-3.21,0.0
329,-3.208,0.0
330,-3.206,0.0
331,-3.204,0.0
332,-3.202,0.0
333,-3.2,0.0
334,-3.198,0.0
335,-3.196,0.0
336,-3.194,0.0
337,-3.192,0.0
338,-3.19,0.0
339,-3.188,0.0
340,-3.186,0.0
341,-3.184,0.0
342,-3.182,0.0
343,-3.18,0.0
344,-3.178,0.0
345,-3.176,0.0
346,-3.174,0.0
347,-3.172,0.0
348,-3.17,0.0
349,-3.168,0.0
350,-3.166,0.0
351,-3.164,0.0
352,-3.162,0.0
353,-3.16,0.0
354,-3.1580000000000004,0.0
355,-3.156,0.0
356,-3.154,0.0
357,-3.152,0.0
358,-3.1500000000000004,0.0
359,-3.148,0.0
360,-3.146,0.0
361,-3.144,0.0
362,-3.1420000000000003,0.0
363,-3.14,0.0
364,-3.138,0.0
365,-3.136,0.0
366,-3.1340000000000003,0.0
367,-3.132,0.0
368,-3.13,0.0
369,-3.128,0.0
370,-3.1260000000000003,0.0
371,-3.124,0.0
372,-3.122,0.0
373,-3.12,0.0
374,-3.1180000000000003,0.0
375,-3.116,0.0
376,-3.114,0.0
377,-3.112,0.0
378,-3.1100000000000003,0.0
379,-3.108,0.0
380,-3.106,0.0
381,-3.104,0.0
382,-3.1020000000000003,0.0
383,-3.1,0.0
384,-3.098,0.0
385,-3.096,0.0
386,-3.0940000000000003,0.0
387,-3.092,0.0
388,-3.09,0.0
389,-3.088,0.0
390,-3.0860000000000003,0.0
391,-3.084,0.0
392,-3.082,0.0
393,-3.08,0.0
394,-3.0780000000000003,0.0
395,-3.076,0.0
396,-3.074,0.0
397,-3.072,0.0
398,-3.0700000000000003,0.0
399,-3.068,0.0
400,-3.066,0.0
401,-3.064,0.0
402,-3.0620000000000003,0.0
403,-3.06,0.0
404,-3.058,0.0
405,-3.056,0.0
406,-3.0540000000000003,0.0
407,-3.052,0.0
408,-3.05,0.0
409,-3.048,0.0
410,-3.0460000000000003,0.0
411,-3.044,0.0
412,-3.042,0.0
413,-3.04,0.0
414,-3.0380000000000003,0.0
415,-3.036,0.0
416,-3.034,0.0
417,-3.032,0.0
418,-3.0300000000000002,0.0
419,-3.028,0.0
420,-3.0260000000000002,0.0
421,-3.024,0.0
422,-3.0220000000000002,0.0
423,-3.02,0.0
424,-3.0180000000000002,0.0
425,-3.016,0.0
426,-3.0140000000000002,0.0
427,-3.012,0.0
428,-3.0100000000000002,0.0
429,-3.008,0.0
430,-3.0060000000000002,0.0
431,-3.004,0.0
432,-3.0020000000000002,0.0
433,-3.0,0.0
434,-2.998,0.0
435,-2.996,0.0
436,-2.994,0.0
437,-2.992,0.0
438,-2.99,0.0
439,-2.988,0.0
440,-2.986,0.0
441,-2.984,0.0
442,-2.982,0.0
443,-2.98,0.0
444,-2.978,0.0
445,-2.976,0.0
446,-2.974,0.0
447,-2.972,0.0
448,-2.97,0.0
449,-2.968,0.0
450,-2.966,0.0
451,-2.964,0.0
452,-2.962,0.0
453,-2.96,0.0
454,-2.958,0.0
455,-2.956,0.0
456,-2.954,0.0
457,-2.952,0.0
458,-2.95,0.0
459,-2.948,0.0
460,-2.946,0.0
461,-2.944,0.0
462,-2.942,0.0
463,-2.94,0.0
464,-2.938,0.0
465,-2.936,0.0
466,-2.934,0.0
467,-2.932,0.0
468,-2.93,0.0
469,-2.928,0.0
470,-2.926,0.0
471,-2.924,0.0
472,-2.922,0.0
473,-2.92,0.0
474,-2.918,0.0
475,-2.916,0.0
476,-2.914,0.0
477,-2.912,0.0
478,-2.91,0.0
479,-2.908,0.0
480,-2.906,0.0
481,-2.904,0.0
482,-2.902,0.0
483,-2.9000000000000004,0.0
484,-2.898,0.0
485,-2.896,0.0
486,-2.894,0.0
487,-2.8920000000000003,0.0
488,-2.89,0.0
489,-2.888,0.0
490,-2.886,0.0
491,-2.8840000000000003,0.0
492,-2.882,0.0
493,-2.88,0.0
494,-2.878,0.0
495,-2.8760000000000003,0.0
496,-2.874,0.0
497,-2.872,0.0
498,-2.87,0.0
499,-2.8680000000000003,0.0
500,-2.866,0.0
501,-2.864,0.0
502,-2.862,0.0
503,-2.8600000000000003,0.0
504,-2.858,0.0
505,-2.856,0.0
506,-2.854,0.0
507,-2.8520000000000003,0.0
508,-2.85,0.0
