,control_x,control_y,duration_x,duration_y,intensity_x,intensity_y
0,-3.36,0.0,-3.38,0.0,-3.36,0.0
1,-3.35,0.0,-3.37,0.0,-3.35,0.0
2,-3.34,0.0,-3.36,0.0,-3.34,0.0
3,-3.33,0.0,-3.35,0.0,-3.33,0.0
4,-3.32,0.0,-3.34,0.0,-3.32,0.0
5,-3.31,0.0,-3.33,0.0,-3.31,0.0
6,-3.3,0.0,-3.32,0.0,-3.3,0.0
7,-3.29,0.0,-3.31,0.0,-3.29,0.0
8,-3.28,0.0,-3.3,0.0,-3.28,0.0
9,-3.27,0.0,-3.29,0.0,-3.27,0.0
10,-3.26,0.0,-3.28,0.0,-3.26,0.0
11,-3.25,0.0,-3.27,0.0,-3.25,0.0
12,-3.2399999999999998,0.0,-3.26,0.0,-3.2399999999999998,0.0
13,-3.23,0.0,-3.25,0.0,-3.23,0.0
14,-3.2199999999999998,0.0,-3.2399999999999998,0.0,-3.2199999999999998,0.0
15,-3.21,0.0,-3.23,0.0,-3.21,0.0
16,-3.1999999999999997,0.0,-3.2199999999999998,0.0,-3.1999999999999997,0.0
17,-3.19,0.0,-3.21,0.0,-3.19,0.0
18,-3.1799999999999997,0.0,-3.1999999999999997,0.0,-3.1799999999999997,0.0
19,-3.17,0.0,-3.19,0.0,-3.17,0.0
20,-3.1599999999999997,0.0,-3.1799999999999997,0.0,-3.1599999999999997,0.0
21,-3.15,0.0,-3.17,0.0,-3.15,0.0
22,-3.1399999999999997,0.0,-3.1599999999999997,0.0,-3.1399999999999997,0.0
23,-3.13,0.0,-3.15,0.0,-3.13,0.0
24,-3.12,0.0,-3.1399999999999997,0.0,-3.12,0.0
25,-3.11,0.0,-3.13,0.0,-3.11,0.0
26,-3.0999999999999996,0.0,-3.12,0.0,-3.0999999999999996,0.0
27,-3.09,0.0,-3.11,0.0,-3.09,0.0
28,-3.08,0.0,-3.0999999999999996,0.0,-3.08,0.0
29,-3.07,0.0,-3.09,0.0,-3.07,0.0
30,-3.06,0.0,-3.08,0.0,-3.06,0.0
31,-3.05,0.0,-3.07,0.0,-3.05,0.0
32,-3.04,0.0,-3.06,0.0,-3.04,0.0
33,-3.03,0.0,-3.05,0.0,-3.03,0.0
34,-3.02,0.0,-3.04,0.0,-3.02,0.0
35,-3.01,0.0,-3.03,0.0,-3.01,0.0
36,-3.0,0.0,-3.02,0.0,-3.0,0.0
37,-2.9899999999999998,0.0,-3.01,0.0,-2.9899999999999998,0.0
38,-2.98,0.0,-3.0,0.0,-2.98,0.0
39,-2.9699999999999998,0.0,-2.9899999999999998,0.0,-2.9699999999999998,0.0
40,-2.96,0.0,-2.98,0.0,-2.96,0.0
41,-2.9499999999999997,0.0,-2.9699999999999998,0.0,-2.9499999999999997,0.0
42,-2.94,0.0,-2.96,0.0,-2.94,0.0
43,-2.9299999999999997,0.0,-2.9499999999999997,0.0,-2.9299999999999997,0.0
44,-2.92,0.0,-2.94,0.0,-2.92,0.0
45,-2.9099999999999997,0.0,-2.9299999999999997,0.0,-2.9099999999999997,0.0
46,-2.9,0.0,-2.92,0.0,-2.9,0.0
47,-2.8899999999999997,0.0,-2.9099999999999997,0.0,-2.8899999999999997,0.0
48,-2.88,0.0,-2.9,0.0,-2.88,0.0
49,-2.87,0.0,-2.8899999999999997,0.0,-2.87,0.0
50,-2.86,0.0,-2.88,0.0,-2.86,0.0
51,-2.8499999999999996,0.0,-2.87,0.0,-2.8499999999999996,0.0
52,-2.84,0.0,-2.86,0.0,-2.84,0.0
53,-2.83,0.0,-2.8499999999999996,0.0,-2.83,0.0
54,-2.82,0.0,-2.84,0.0,-2.82,0.0
55,-2.8099999999999996,0.0,-2.83,0.0,-2.8099999999999996,0.0
56,-2.8,0.0,-2.82,0.0,-2.8,0.0
57,-2.79,0.0,-2.8099999999999996,0.0,-2.79,0.0
58,-2.78,0.0,-2.8,0.0,-2.78,0.0
59,-2.77,0.0,-2.79,0.0,-2.77,0.0
60,-2.76,0.0,-2.78,0.0,-2.76,0.0
61,-2.75,0.0,-2.77,0.0,-2.75,0.0
62,-2.7399999999999998,0.0,-2.76,0.0,-2.7399999999999998,0.0
63,-2.73,0.0,-2.75,0.0,-2.73,0.0
64,-2.7199999999999998,0.0,-2.7399999999999998,0.0,-2.7199999999999998,3.333333333333333
65,-2.71,0.0,-2.73,0.0,-2.71,0.0
66,-2.6999999999999997,0.0,-2.7199999999999998,0.0,-2.6999999999999997,0.0
