,_nolegend__x,_nolegend__y,_line6_x,_line6_y,_line7_x,_line7_y
0,170.0,312.3620222091608,170.0,305.8329400337609,170.0,305.19979488577565
1,120.0,275.90799836506676,120.0,263.8626907963937,120.0,270.4140496961933
2,100.0,259.6379098914016,100.0,247.0745911014468,100.0,256.49975162036037
3,80.0,240.30636674168747,80.0,230.28649140649986,80.0,242.5854535445274
4,60.0,236.41428013015954,60.0,213.49839171155298,60.0,228.67115546869448
