,luminance
798,0
799,40
800,127
801,215
802,255
803,225
804,141
805,49
806,1
807,24
808,106
809,200
810,253
811,234
812,152
813,56
814,2
815,22
816,104
817,201
818,254
819,230
820,144
821,47
822,0
823,32
824,124
825,218
826,255
827,212
828,114
829,25
830,2
831,60
832,163
833,243
834,246
835,171
836,66
837,3
838,23
839,115
840,215
841,255
842,207
843,104
844,16
845,7
846,83
847,190
848,253
849,226
850,128
851,29
852,2
853,67
854,177
855,250
856,232
857,136
858,33
859,1
860,66
861,178
862,251
863,229
864,128
865,26
866,4
867,79
868,193
869,255
870,215
871,105
872,13
873,14
874,108
875,218
876,254
877,185
878,68
879,1
880,40
881,153
882,245
883,237
884,135
885,26
886,6
887,91
888,208
889,255
890,189
891,69
892,0
893,46
894,165
895,250
896,224
897,110
898,11
899,20
900,128
901,128
902,128
903,128
904,128
905,128
906,128
907,128
908,128
909,128
910,128
911,128
912,128
913,128
914,128
915,128
916,128
917,128
918,128
919,128
920,128
921,128
922,128
923,128
924,128
925,128
926,128
927,128
928,128
929,128
930,128
931,128
932,128
933,128
934,128
935,128
936,128
937,128
938,128
939,128
940,128
941,128
942,128
943,128
944,128
945,128
946,128
947,128
948,128
949,128
950,128
951,128
952,128
953,128
954,128
955,128
956,128
957,128
958,128
959,128
960,128
961,128
962,128
963,128
964,128
965,128
966,128
967,128
968,128
969,128
970,128
971,128
972,128
973,128
974,128
975,128
976,128
977,128
978,128
979,128
980,128
981,128
982,128
983,128
984,128
985,128
986,128
987,128
988,128
989,128
990,128
991,128
992,128
993,128
994,128
995,128
996,128
997,128
998,128
999,128
1000,128
1001,128
1002,128
1003,128
1004,129
1005,129
1006,129
1007,130
1008,130
1009,130
1010,129
1011,129
1012,128
1013,127
1014,126
1015,125
1016,124
1017,123
1018,122
1019,121
1020,121
1021,122
1022,123
1023,124
1024,126
1025,128
1026,130
1027,132
1028,134
1029,135
1030,137
1031,137
1032,138
1033,137
1034,136
1035,134
1036,132
1037,129
1038,126
1039,123
1040,120
1041,117
1042,115
1043,114
1044,113
1045,114
1046,115
1047,117
1048,120
1049,124
1050,127
1051,132
1052,136
1053,139
1054,142
1055,144
1056,145
1057,145
1058,144
1059,142
1060,139
1061,135
1062,130
1063,125
1064,120
1065,115
1066,111
1067,108
1068,106
1069,105
1070,106
1071,108
1072,112
1073,116
1074,122
1075,127
1076,134
1077,139
1078,145
1079,149
1080,152
1081,153
1082,153
1083,152
1084,148
1085,143
1086,138
1087,131
1088,124
1089,117
1090,111
1091,105
1092,101
1093,98
1094,97
1095,99
1096,102
1097,106
1098,112
1099,120
1100,127
1101,136
1102,143
1103,150
1104,156
1105,159
1106,161
1107,161
1108,159
1109,154
1110,148
1111,141
1112,132
1113,123
1114,114
1115,106
1116,99
1117,94
1118,90
1119,89
1120,91
1121,95
1122,101
1123,109
1124,118
1125,127
1126,138
1127,147
1128,156
1129,162
1130,167
1131,169
1132,169
1133,166
1134,161
1135,153
1136,144
1137,133
1138,122
1139,111
1140,101
1141,93
1142,86
1143,83
1144,82
1145,83
1146,88
1147,95
1148,105
1149,116
1150,127
1151,140
1152,151
1153,161
1154,169
1155,175
1156,177
1157,177
1158,173
1159,167
1160,158
1161,146
1162,134
1163,121
1164,108
1165,96
1166,87
1167,79
1168,75
1169,74
1170,76
1171,81
1172,90
1173,101
1174,114
1175,127
1176,142
1177,155
1178,166
1179,176
1180,182
1181,185
1182,185
1183,180
1184,173
1185,162
1186,149
1187,135
1188,120
1189,105
1190,92
1191,80
1192,72
1193,67
1194,66
1195,68
1196,75
1197,84
1198,97
1199,112
1200,127
1201,143
1202,159
1203,172
1204,183
1205,190
1206,193
1207,193
1208,188
1209,179
1210,167
1211,152
1212,136
1213,119
1214,102
1215,87
1216,74
1217,65
1218,59
1219,58
1220,61
1221,68
1222,79
1223,93
1224,110
1225,127
1226,145
1227,162
1228,177
1229,189
1230,197
1231,201
1232,200
1233,195
1234,185
1235,172
1236,155
1237,137
1238,118
1239,99
1240,82
1241,68
1242,57
1243,51
1244,50
1245,53
1246,61
1247,73
1248,89
1249,108
1250,127
1251,147
1252,166
1253,183
1254,196
1255,205
1256,209
1257,208
1258,202
1259,191
1260,176
1261,158
1262,138
1263,117
1264,96
1265,78
1266,62
1267,50
1268,43
1269,42
1270,45
1271,54
1272,68
1273,85
1274,106
1275,127
1276,149
1277,170
1278,188
1279,203
1280,213
1281,217
1282,216
1283,209
1284,198
1285,181
1286,161
1287,139
1288,116
1289,93
1290,73
1291,56
1292,43
1293,35
1294,34
1295,38
1296,48
1297,62
1298,82
1299,104
1300,127
1301,151
1302,174
1303,194
1304,210
1305,220
1306,225
1307,224
1308,217
1309,204
1310,186
1311,164
1312,140
1313,115
1314,91
1315,68
1316,50
1317,36
1318,28
1319,26
1320,30
1321,41
1322,57
1323,78
1324,102
1325,128
1326,153
1327,178
1328,199
1329,216
1330,228
1331,233
1332,232
1333,224
1334,210
1335,191
1336,167
1337,141
1338,114
1339,88
1340,64
1341,43
1342,28
1343,20
1344,18
1345,23
1346,34
